id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1881926	DUKE	38074	Lutzoni, François; Miadlikowska, Jolanta; Gueidan, Cécile; Arnold, A., E.	03.07.04-46	88.34	124.04	Tennessee	Carter Co.	36	-81	outside_boundary_exact	North Carolina, Iredell County	Cherokee National Forest, Highway 321, along Pope Road (ca. 5 mi E of Highway 67 junction) and Elk River	https://lichenportal.org/portal/collections/individual/index.php?occid=1881926
1850942	DUKE	191844	Culberson, William, L.; Culberson, Chicita, F.	19630	10.41	56.49	Tennessee	Carter Co.	36.01059	-82.0704	outside_boundary_exact	North Carolina, Mitchell County	12.8 mi S of the town of Roan Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1850942
1863077	DUKE	48611	Culberson, William, L.; Culberson, Chicita, F.	19629	10.41	56.49	Tennessee	Carter Co.	36.01059	-82.0704	outside_boundary_exact	North Carolina, Mitchell County	12.8 mi S of the town of Roan Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1863077
1877483	DUKE	226322	Forest Health Monitoring Crew	3508371-17	8.99	55.59	Tennessee	Cocke Co.	35.69	-83.09	outside_boundary_exact	North Carolina, Haywood County	Cocke County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1877483
1859291	DUKE	155188	Dey, Jonathan, P.; Forest Health Monitoring Crew	3608332-20	8.92	67.2	Tennessee	Hawkins Co.	36.21	-83.19	outside_boundary_exact	Tennessee, Hamblen County	Hawkins County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1859291
1871454	DUKE	301906	Forest Health Monitoring Crew	3608332-6a	8.92	67.2	Tennessee	Hawkins Co.	36.21	-83.19	outside_boundary_exact	Tennessee, Hamblen County	Hawkins County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1871454
1872624	DUKE	308133	Forest Health Monitoring Crew	3608332-66	8.92	67.2	Tennessee	Hawkins Co.	36.21	-83.19	outside_boundary_exact	Tennessee, Hamblen County	Hawkins County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1872624
1873522	DUKE	39158	Forest Health Monitoring Crew	3608332-16	8.92	67.2	Tennessee	Hawkins Co.	36.21	-83.19	outside_boundary_exact	Tennessee, Hamblen County	Hawkins County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1873522
1879094	DUKE	39159	Forest Health Monitoring Crew	3608332-2	8.92	67.2	Tennessee	Hawkins Co.	36.21	-83.19	outside_boundary_exact	Tennessee, Hamblen County	Hawkins County, unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1879094
1853273	DUKE	308443	Culberson, William, L.	15745	4.3	48.98	Tennessee	Carter Co.	36.10127	-82.18048	outside_boundary_exact	North Carolina, Mitchell County	4 mi W of Carver's Gap (near Roan Mountain)	https://lichenportal.org/portal/collections/individual/index.php?occid=1853273
1854879	DUKE	310482	Culberson, William, L.	15744	4.3	48.98	Tennessee	Carter Co.	36.10127	-82.18048	outside_boundary_exact	North Carolina, Mitchell County	4 mi W of Carver's Gap (near Roan Mountain)	https://lichenportal.org/portal/collections/individual/index.php?occid=1854879
1864118	DUKE	301800	Culberson, William, L.	15742	4.3	48.98	Tennessee	Carter Co.	36.10127	-82.18048	outside_boundary_exact	North Carolina, Mitchell County	4 mi W of Carver's Gap (near Roan Mountain)	https://lichenportal.org/portal/collections/individual/index.php?occid=1864118
1874936	DUKE	185225	Culberson, William, L.	15740	4.3	48.98	Tennessee	Carter Co.	36.10127	-82.18048	outside_boundary_exact	North Carolina, Mitchell County	4 mi W of Carver's Gap (near Roan Mountain)	https://lichenportal.org/portal/collections/individual/index.php?occid=1874936
1344743	DUKE	223684	Forest Health Monitoring Crew	3608332-9	3.82	68.56	Tennessee	Hawkins Co.	36.35	-83.316667	outside_boundary_exact	Tennessee, Grainger County	Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1344743
1351237	DUKE	300587	Forest Health Monitoring Crew	3608332-11	3.82	68.56	Tennessee	Hawkins Co.	36.35	-83.316667	outside_boundary_exact	Tennessee, Grainger County	unspecified	https://lichenportal.org/portal/collections/individual/index.php?occid=1351237
1838926	DUKE	186171	Bloomer, James, L.	3	2.68	51.61	Tennessee	Grainger Co.	36.40009	-83.2499	outside_boundary_exact	Tennessee, Hawkins County	Near Clinch Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1838926
1848042	DUKE	301904	Bloomer, James, L.	2	2.68	51.61	Tennessee	Grainger Co.	36.40009	-83.2499	outside_boundary_exact	Tennessee, Hawkins County	Clinch Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1848042
1857172	DUKE	199163	DePriest, Paula, T.	3615	1.65	51.19	Tennessee	Sevier Co.	35.73002	-83.25751	outside_boundary_exact	Tennessee, Cocke County	Great Smoky Mountains, Maddron Bald, NW of state-line ridge on Maddron Bald Trail 1.5 miles from intersection with Snake Den Mountain Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1857172
1881944	DUKE	152985	Hale, Jr., Mason, Ellsworth	s.n.	0.07	46.34	Tennessee	Carter Co.	36.10421	-82.08452	outside_boundary_exact	North Carolina, Mitchell County	Near entrance to Roan Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1881944
