institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
F	NA	Arizona	San Francisco Mts.	405.61	outside_boundary_first_word_match	Arizona, Coconino County	35.330819,-111.701089	C2098887F	Arizona Snowbowl	https://lichenportal.org/portal/collections/individual/index.php?occid=5818483
F	T. H. Nash, III	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.4166667,-110.1833333	C0091513F	Sycamore Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2931700
F	T. H. Nash, III	Arizona	Santa Cruz	26.2	outside_boundary_exact	Arizona, Cochise County	31.4166667,-110.1833333	C0305466F	Sycamore Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=2938088
F	T. H. Nash, III	Arizona	Apache	7.63	outside_boundary_exact	Arizona, Greenlee County	33.6125,-109.4167	C0347113F	Apache National Forest, Bear Wallow Wilderness: along Reno Trail to bottom of canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=3646512
F	T. H. Nash	Arizona	Coconino	7.57	outside_boundary_exact	Arizona, Navajo County	35.316667,-110.666667	C0302827F	above timber line on the N to NE slope on Mount Agassiz in the San Francisco Peaks	https://lichenportal.org/portal/collections/individual/index.php?occid=2748569
F	T. H. Nash, III	Arizona	Coconino	1.07	outside_boundary_exact	Arizona, Gila County	34.283333,-110.9	C0305387F	Mogollon Rim near border of Gila County along highway 260 about 20 kilometers east of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=2937895
F	T. H. Nash, III	Arizona	Coconino	1.07	outside_boundary_exact	Arizona, Gila County	34.283333,-110.9	C0305442F	Mogollon Rim near border of Gila County along highway 260 about 20 kilometers east of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=2937951
F	T. H. Nash, III	Arizona	Coconino	1.07	outside_boundary_exact	Arizona, Gila County	34.283333,-110.9	C0090011F	Mogollon Rim near border of Gila County along highway 260 about 20 kilometers east of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=2938301
F	T. H. Nash, III	Arizona	Coconino	1.07	outside_boundary_exact	Arizona, Gila County	34.283333,-110.9	C0090327F	Mogollon Rim near border of Gila County along highway 260 about 20 kilometers east of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=2938397
F	T. H. Nash, III	Arizona	Coconino	1.07	outside_boundary_exact	Arizona, Gila County	34.283333,-110.9	C0305513F	Mogollon Rim near border of Gila County along highway 260 about 20 kilometers east of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=2938139
F	T. H. Nash, III	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.91667	C0056565F	At Mogollon Rim, 1 km. south of State Route #260	https://lichenportal.org/portal/collections/individual/index.php?occid=2937816
F	T. H. Nash	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.9166667	C0302384F	Mogollon Rim, 1 km south of state route 260	https://lichenportal.org/portal/collections/individual/index.php?occid=2746700
F	T. H. Nash, III	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.9166667	C0347129F	Mogollon Rim, immediately S of where Rte 260 crosses the rim	https://lichenportal.org/portal/collections/individual/index.php?occid=3646528
F	T. H. Nash, III	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.9166667	C0053650F	Mogollon Rim, immediately S of where Rte 260 crosses the rim	https://lichenportal.org/portal/collections/individual/index.php?occid=2937563
F	T. H. Nash, III	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.9166667	C0305400F	Mogollon Rim, immediately S of where Rte 260 crosses the rim	https://lichenportal.org/portal/collections/individual/index.php?occid=2937908
F	T. H. Nash	Arizona	Coconino	0.53	outside_boundary_exact	Arizona, Coconino County	34.3,-110.916667	C0302822F	At Mogollon Rim, 1 km S of state Rte. 260	https://lichenportal.org/portal/collections/individual/index.php?occid=2748533
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0347098F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=3646497
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C1006905F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2264298
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C1000930F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2258029
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0068273F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2257767
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C1012336F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2265168
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0305509F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2938135
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C1012904F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2263014
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0092851F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2935105
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0090397F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2937557
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C0091865F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2933629
F	T. H. Nash, III	Arizona	Gila	0.47	outside_boundary_exact	Arizona, Coconino County	34.4333333,-111.4	C1014701F	Gila National Forest; Upper end of Pine Canyon adjacent Coconino County border	https://lichenportal.org/portal/collections/individual/index.php?occid=2262497
