id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3052691	F	C0346672F	R. Rosentreter	4187-A	485.08	625.33	Idaho	Shoshone	42.592411	-114.406425	outside_boundary_exact	Idaho, Twin Falls County	Twin Falls, Shoshone Falls Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3052691
3646014	F	C0346811F	R. D. Rosentreter	8281	225.48	275.64	Idaho	Gem	44.26	-113.32	outside_boundary_exact	Idaho, Lemhi County	Dudley's Property; 14 miles north of Ola, Idaho	https://lichenportal.org/portal/collections/individual/index.php?occid=3646014
2933409	F	C0091171F	T. L. Esslinger	14095	167.99	238.62	Idaho	Kootenai	45.85	-116.8666667	outside_boundary_exact	Oregon, Wallowa County	near the S end of Lower Twin Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2933409
2937926	F	C0305418F	T. L. Esslinger	14095	167.99	238.62	Idaho	Kootenai	45.85	-116.8666667	outside_boundary_exact	Oregon, Wallowa County	near the S end of Lower Twin Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2937926
5813310	F	C2030613F	A. DeBolt	753	3.8	203.11	Idaho	Lemhi	44.2	-113	outside_boundary_exact	Idaho, Butte County	About 8 km north of Lone Pine, west of U.S. 93	https://lichenportal.org/portal/collections/individual/index.php?occid=5813310
3049933	F	C1001591F	S. Leavitt	s.n.	2.55	83.53	Idaho	Bonner	48.56697	-116.75011	outside_boundary_exact	Idaho, Boundary County	Priest River State Forest: Site 41: in Priest River State Forest along FR 24, vicinity of Hunt Lake; where van broke down	https://lichenportal.org/portal/collections/individual/index.php?occid=3049933
3049934	F	C1001607F	S. Leavitt	s.n.	2.55	83.53	Idaho	Bonner	48.56697	-116.75011	outside_boundary_exact	Idaho, Boundary County	Priest River State Forest: Site 41: in Priest River State Forest along FR 24, vicinity of Hunt Lake; where van broke down	https://lichenportal.org/portal/collections/individual/index.php?occid=3049934
3049935	F	C1001601F	S. Leavitt	s.n.	2.55	83.53	Idaho	Bonner	48.56697	-116.75011	outside_boundary_exact	Idaho, Boundary County	Priest River State Forest: Site 41: in Priest River State Forest along FR 24, vicinity of Hunt Lake; where van broke down	https://lichenportal.org/portal/collections/individual/index.php?occid=3049935
3049423	F	C0305276F	P. R. Leacock	NAMA 2008-225	2.01	117.33	Idaho	Valley	45.00189	-116.16047	outside_boundary_exact	Idaho, Adams County	McCall, Brundage Mountain Ski Area, entrance, Payette National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3049423
3049424	F	C0305277F	P. R. Leacock	NAMA 2008-232	2.01	117.33	Idaho	Valley	45.00189	-116.16047	outside_boundary_exact	Idaho, Adams County	McCall, Brundage Mountain Ski Area, entrance, Payette National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=3049424
2259294	F	C1006937F	W. B. Cooke & V. G. Cooke	25073	0.21	77.16	Idaho	Nez Perce	46.508566	-116.449031	outside_boundary_exact	Idaho, Clearwater County	4-8 miles east of Lenore, on south side of State Route 9	https://lichenportal.org/portal/collections/individual/index.php?occid=2259294
