id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2250126	F	C0063159F	A. H. Moore	283	3968.53	Washington	Mason	44.2731207	-71.2928528	outside_boundary_exact	New Hampshire, Coos County	Alpine Garden, Mountain Washington	https://lichenportal.org/portal/collections/individual/index.php?occid=2250126
3048621	F	C1001708F	S. Leavitt	10-06-01	703.09	Washington	Lewis	46.51062	-112.20665	outside_boundary_exact	Montana, Lewis and Clark County	W of Glenoma along Hwy 12 miles E of Kosmos Rd, along small creek	https://lichenportal.org/portal/collections/individual/index.php?occid=3048621
2252705	F	C0068069F	A. W. C. T. Herre	s.n.	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Russell Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2252705
2255634	F	C0072034F	A. W. C. T. Herre	s.n.	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Lake Russell	https://lichenportal.org/portal/collections/individual/index.php?occid=2255634
2256222	F	C0052428F	A. W. C. T. Herre	4676	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Russell Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2256222
2257993	F	C0052384F	A. W. C. T. Herre	s.n.	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Russell Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2257993
2259337	F	C1006249F	A. W. C. T. Herre	s.n.	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Russell Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=2259337
2259789	F	C1010720F	A. W. C. T. Herre	4629	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Lake Russell	https://lichenportal.org/portal/collections/individual/index.php?occid=2259789
2260399	F	C1007520F	A. W. C. T. Herre	s.n.	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Lake Russell	https://lichenportal.org/portal/collections/individual/index.php?occid=2260399
2261195	F	C1010714F	A. W. C. T. Herre	4629	388.25	Washington	Pacific	46.133748	-118.346078	outside_boundary_exact	Washington, Walla Walla County	Lake Russell	https://lichenportal.org/portal/collections/individual/index.php?occid=2261195
