id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
4726331	FH	barcode-00991178	P. F. May	2412	61.59	New York	Rensselaer County	43.5	-73.275	outside_boundary_exact	New York, Washington County	White Rocks, between Taconic Trail and summit	https://lichenportal.org/portal/collections/individual/index.php?occid=4726331
4726438	FH	barcode-00991306	P. F. May	2403	61.59	New York	Rensselaer County	43.5	-73.275	outside_boundary_exact	New York, Washington County	Petersburg, White Rocks, between Taconic Trail and summit	https://lichenportal.org/portal/collections/individual/index.php?occid=4726438
1297189	FH	barcode-00197718	P. F. May	1152	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=1297189
4724895	FH	barcode-00377772	P. F. May	1167	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4724895
4724896	FH	barcode-00377773	P. F. May	1198	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4724896
4724903	FH	barcode-00377780	P. F. May	1150	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4724903
4724964	FH	barcode-00377863	P. F. May	1177	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4724964
4725318	FH	barcode-00852980	P. F. May	1168	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4725318
4725319	FH	barcode-00852981	P. F. May	1191	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4725319
4725685	FH	barcode-01006579	P. F. May	1156	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4725685
4725999	FH	barcode-01006927	P. F. May	1172	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4725999
4726036	FH	barcode-01006964	P. F. May	1161	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726036
4726052	FH	barcode-01006981	P. F. May	1142	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726052
4726253	FH	barcode-00991082	P. F. May	1164	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726253
4726273	FH	barcode-00991104	P. F. May	1175	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, woods adjacent to Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726273
4726298	FH	barcode-00991137	P. F. May	1176	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726298
4726321	FH	barcode-00991164	P. F. May	1187	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726321
4726406	FH	barcode-00991263	P. F. May	1183	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726406
4726481	FH	barcode-00991364	P. F. May	1132	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726481
4726586	FH	barcode-00991495	P. F. May	1193	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726586
4726587	FH	barcode-00991496	P. F. May	1196	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726587
4726592	FH	barcode-00991500	P. F. May	1190	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4726592
4726980	FH	barcode-00377688	P. F. May	1148	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4726980
4726981	FH	barcode-00377688	P. F. May	1148	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Minerva, Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4726981
4727342	FH	barcode-00979086	P. F. May	1146	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N	https://lichenportal.org/portal/collections/individual/index.php?occid=4727342
4727345	FH	barcode-00979106	P. F. May	1133	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N,	https://lichenportal.org/portal/collections/individual/index.php?occid=4727345
4727346	FH	barcode-00979106	P. F. May	1133	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N,	https://lichenportal.org/portal/collections/individual/index.php?occid=4727346
4727693	FH	barcode-01006678	P. F. May	1145	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727693
4727694	FH	barcode-01006678	P. F. May	1145	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727694
4727709	FH	barcode-01006697	P. F. May	1145A	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 29N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727709
4727710	FH	barcode-01006697	P. F. May	1145A	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 29N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727710
4727757	FH	barcode-01006874	P. F. May	no number	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727757
4727758	FH	barcode-01006874	P. F. May	no number	0.56	New York	Essex County	43.75	-73.95	outside_boundary_exact	New York, Warren County	Moxham Pond, halfway between pond and Rte 28N, approx.	https://lichenportal.org/portal/collections/individual/index.php?occid=4727758
