id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
4908711	FLAS	L6041	J. Richard Abbott	B-448	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908711
4908717	FLAS	L6030	J. Richard Abbott	B-353	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	near Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908717
4908756	FLAS	L6037	J. Richard Abbott	B-423	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908756
4908767	FLAS	L6039	J. Richard Abbott	B-437	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908767
4908768	FLAS	L6033	J. Richard Abbott	B-407	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908768
4908778	FLAS	L6035	J. Richard Abbott	B-418	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908778
4908802	FLAS	L6031	J. Richard Abbott	B-395	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908802
4908862	FLAS	L6032	J. Richard Abbott	B-398	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908862
4908864	FLAS	L6034	J. Richard Abbott	B-412	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908864
4908865	FLAS	L6036	J. Richard Abbott	B-422	14110.49	Florida	Levy County	29.1866667	82.8883333	outside_boundary_exact	not_found_in_US	loop road trail, from Kelly Creek to Jack's Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908865
4908814	FLAS	L6049	J. Richard Abbott	B-469	14109.81	Florida	Levy County	29.07	82.72	outside_boundary_exact	not_found_in_US	ex-Northcut property, north of junction with C-40 on C-40A;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908814
4908836	FLAS	L6048	J. Richard Abbott	B-466	14109.81	Florida	Levy County	29.07	82.72	outside_boundary_exact	not_found_in_US	ex-Northcut property, north of junction with C-40 on C-40A;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908836
4908856	FLAS	L6050	J. Richard Abbott	B-470	14109.81	Florida	Levy County	29.07	82.72	outside_boundary_exact	not_found_in_US	ex-Northcut property, north of junction with C-40 on C-40A;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908856
4908709	FLAS	L6020	J. Richard Abbott	B-324	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908709
4908718	FLAS	L6023	J. Richard Abbott	B-328	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908718
4908734	FLAS	L6019	J. Richard Abbott	B-323	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908734
4908741	FLAS	L6028	J. Richard Abbott	B-339	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908741
4908762	FLAS	L6021	J. Richard Abbott	B-325	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908762
4908763	FLAS	L6027	J. Richard Abbott	B-331	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908763
4908788	FLAS	L6026	J. Richard Abbott	B-330	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908788
4908805	FLAS	L6018	J. Richard Abbott	B-321	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908805
4908826	FLAS	L6025	J. Richard Abbott	B-329	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908826
4908849	FLAS	L6029	J. Richard Abbott	B-346	14109.6	Florida	Levy County	29.1083333	82.7683333	outside_boundary_exact	not_found_in_US	north of Turtle Creek;	https://lichenportal.org/portal/collections/individual/index.php?occid=4908849
1738060	FLAS	FLAS L4350	Richard C. Harris	35610	5702.18	Florida	Washington	-30.733333	-85.483333	outside_boundary_exact	not_found_in_US	Rock Hill, ca. 7 km due SE of Chipley, E of Co. Rd. 273 just S of I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1738060
1738182	FLAS	FLAS L4472	Richard C. Harris	35614	5702.18	Florida	Washington	-30.733333	-85.483333	outside_boundary_exact	not_found_in_US	Rock Hill, ca. 7 km due SE of Chipley, E of Co. Rd. 273 just S of I-10	https://lichenportal.org/portal/collections/individual/index.php?occid=1738182
1384413	FLAS	FLAS L11982	[n/a]	874	1729.48	Florida	Addison	43.866667	-73.05	outside_boundary_similarity_0.714	Vermont, Addison County	[n/a]	https://lichenportal.org/portal/collections/individual/index.php?occid=1384413
1738531	FLAS	FLAS L5745	Dana Griffin, III	4107	1075.2	Florida	Levy	39.216667	-83.033333	outside_boundary_exact	Ohio, Ross County	Black Point Swamp, along county road 326, 1.5 mi. W of intersection with c.r. 347	https://lichenportal.org/portal/collections/individual/index.php?occid=1738531
1738535	FLAS	FLAS L5767	Dana Griffin, III	4130	1075.2	Florida	Levy	39.216667	-83.033333	outside_boundary_exact	Ohio, Ross County	Black Point Swamp, along county road 326, 1.5 mi. W of intersection with c.r. 347	https://lichenportal.org/portal/collections/individual/index.php?occid=1738535
2739347	FLAS	FLAS L12426	Roger Rosentreter	18048	974.68	Florida	Alachua	20.50469	-82.27982	outside_boundary_exact	not_found_in_US	Micanopy, 8 miles south of Gainesville, within the township of Micanopy	https://lichenportal.org/portal/collections/individual/index.php?occid=2739347
1384585	FLAS	FLAS L11218	Dana Griffin, III	4144	953.8	Florida	Levy	29.5	-72.566667	outside_boundary_exact	not_found_in_US	Along Fla. 24, 3 mi. W of Archer near abandoned microwave tower	https://lichenportal.org/portal/collections/individual/index.php?occid=1384585
1740124	FLAS	FLAS L7580	Alexander W. Evans	496	487.16	Florida	Santa Rosa	28.664992	-82.112863	outside_boundary_exact	Florida, Sumter County	north of Bushnell	https://lichenportal.org/portal/collections/individual/index.php?occid=1740124
1381201	FLAS	FLAS L3943	Richard C. Harris	39820	395.24	Florida	Sumter	24.716667	-82.216667	outside_boundary_exact	not_found_in_US	Along C.R. 330, 1.1 mi ENE of C.R. 48, just SE of Citrus County line at Withlacoochee River	https://lichenportal.org/portal/collections/individual/index.php?occid=1381201
1357725	FLAS	FLAS L3836	Richard C. Harris	41653	265.58	Florida	Marion	27	-80.1	outside_boundary_exact	Florida, Martin County	Jonathan Dickinson State Park, along Florida Trail, Sand Pine Nature Trail, just N of parking lot at park entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=1357725
