occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
4811977	GEO	NA	Georgia	DeKalb County	312.73	outside_boundary_exact	17740	30.809,-84.1638	Georgia, Grady County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811977
4811877	GEO	NA	Georgia	DeKalb County	157.38	outside_boundary_exact	17386	35.0531,-83.1895	North Carolina, Macon County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811877
4811856	GEO	NA	Georgia	DeKalb County	157.38	outside_boundary_exact	17003	35.0531,-83.1895	North Carolina, Macon County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811856
4811727	GEO	NA	Georgia	DeKalb County	157.38	outside_boundary_exact	16728	35.0531,-83.1895	North Carolina, Macon County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811727
4811648	GEO	NA	Georgia	DeKalb County	153.79	outside_boundary_exact	15568	35.0842,-83.3061	North Carolina, Macon County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811648
4812004	GEO	NA	Georgia	Camden County	85.32	outside_boundary_exact	24527	31.889,-81.43246	Georgia, Liberty County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4812004
4812105	GEO	NA	Georgia	Camden County	69.07	outside_boundary_exact	24630	31.7386,-81.41728	Georgia, Liberty County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4812105
4811903	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17548	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811903
4812126	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	24780	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4812126
4811983	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17985	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811983
4811993	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17996	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811993
4811900	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17545	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811900
4811886	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17426	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811886
3777326	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24716	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777326
3777327	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24717	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777327
3777328	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24718	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777328
3777329	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24719	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777329
3777330	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24721	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777330
3777331	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24722	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777331
3777332	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24723	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777332
3777333	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24724	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777333
3777343	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24739	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777343
3777344	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24743	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777344
3777346	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24745	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777346
3777347	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24746	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777347
3777348	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24748	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center	https://lichenportal.org/portal/collections/individual/index.php?occid=3777348
3777349	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24773	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777349
3777350	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24774	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777350
3777351	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24775	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777351
3777352	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24776	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777352
3777353	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24777	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777353
3777354	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24778	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777354
3777355	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24779	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777355
3777356	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24780	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777356
3777357	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24781	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777357
3777358	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24783	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777358
3777359	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24784	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777359
3777360	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24785	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777360
3777361	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24786	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777361
3777362	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24787	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777362
3777368	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24793	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777368
3777369	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24794	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777369
3777370	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24795	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777370
3777371	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24796	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777371
3777374	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24799	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777374
3777375	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24800	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777375
3777376	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24801	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777376
3777377	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24802	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777377
3777378	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24803	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777378
3777379	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24804	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777379
3777380	GEO	Sean Beeching	Georgia	Towns County	32.7	outside_boundary_exact	24805	34.5566,-83.9922	Georgia, Lumpkin County	Charles H. Wharton Conservation Center, Madison, Georgia	https://lichenportal.org/portal/collections/individual/index.php?occid=3777380
4812123	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	24777	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4812123
4812120	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	24774	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4812120
4811894	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17539	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811894
4811884	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17424	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811884
4811987	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17990	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811987
4811989	GEO	NA	Georgia	Towns County	32.7	outside_boundary_exact	17992	34.5566,-83.9922	Georgia, Lumpkin County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=4811989
