institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0001555	780. 380 34' f|. Along Dark Hollow Trail, near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2910643
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0008459	Along Dark Hollow Trail, near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2912354
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0006972	along Dark Hollow Trail near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2912449
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0000759	Along Dark Hollow Trail, near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2912627
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0005509	Along Dark Hollow Trial, near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2918614
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0003583	Along Dark Hollow Trail, near Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2918815
ID	Doyle E. Anderegg	Virginia	Page	4.09	outside_boundary_exact	Virginia, Madison County	38.566667,-78.333333	ID-L-0003488	Dark Hallow Falls Trail along Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2918930
ID	Doyle E. Anderegg	Virginia	Page	0.29	outside_boundary_exact	Virginia, Madison County	38.533333,-78.416667	ID-L-0006974	Near Big Meadows Visitor Center of Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2912408
ID	Doyle E. Anderegg	Virginia	Page	0.29	outside_boundary_exact	Virginia, Madison County	38.533333,-78.416667	ID-L-0002845	Near Big Meadows visitior Center of Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2913069
ID	Doyle E. Anderegg	Virginia	Page	0.29	outside_boundary_exact	Virginia, Madison County	38.533333,-78.416667	ID-L-0008629	Near Big Meadows Visitor Center of Skyline Drive	https://lichenportal.org/portal/collections/individual/index.php?occid=2913628
