id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2707037	ILLS	ILLS00095180	J.L. Crane	98-175	7464.03	Indiana	Orange	38.656482	-176.600168	outside_boundary_exact	not_found_in_US	Hoosier National Forest, Shirly Creek Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=2707037
2713949	ILLS	ILLS00096128	Richard Fried	s.n.	171.57	Indiana	Brown County	40.875515	-86.093585	outside_boundary_exact	Indiana, Miami County	Mt. Zion Cemetery.	https://lichenportal.org/portal/collections/individual/index.php?occid=2713949
2714145	ILLS	ILLS00095740	Richard Fried	s.n.	171.57	Indiana	Brown County	40.875515	-86.093585	outside_boundary_exact	Indiana, Miami County	Mt. Zion Cemetery.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714145
2714154	ILLS	ILLS00095772	Richard Fried	s.n.	171.57	Indiana	Brown County	40.875515	-86.093585	outside_boundary_exact	Indiana, Miami County	Mt. Zion Cemetery.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714154
2704556	ILLS	ILLS00098639	J.D. Schoknecht	s.n.	120.35	Indiana	Fountain	38.885603	-86.935006	outside_boundary_exact	Indiana, Daviess County	Rocky Branch Nature Preserve.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704556
2714604	ILLS	ILLS00098568	Charles Mertz	s.n.	9.86	Indiana	Montgomery County	39.884899	-87.207668	outside_boundary_exact	Indiana, Parke County	Turkey Run State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714604
2714605	ILLS	ILLS00098569	Charles Mertz	s.n.	9.86	Indiana	Montgomery County	39.884899	-87.207668	outside_boundary_exact	Indiana, Parke County	Turkey Run State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714605
2714650	ILLS	ILLS00098570	Charles Mertz	s.n.	9.86	Indiana	Montgomery County	39.884899	-87.207668	outside_boundary_exact	Indiana, Parke County	Turkey Run State Park. Camels Back, in damp ravine.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714650
2714660	ILLS	ILLS00098257	Charles Mertz	s.n.	9.86	Indiana	Montgomery County	39.884899	-87.207668	outside_boundary_exact	Indiana, Parke County	Turkey Run State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714660
2714663	ILLS	ILLS00098326	Charles Mertz	s.n.	9.86	Indiana	Montgomery County	39.884899	-87.207668	outside_boundary_exact	Indiana, Parke County	Turkey Run State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714663
2712222	ILLS	ILLS00010026	Randy Vogel	s.n.	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades State Park, moss covered rock.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712222
2712472	ILLS	ILLS00089418	A.S. Methven	6122	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades Stae Park. Tsuga and mixed hardwood forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712472
2712484	ILLS	ILLS00089419	A.S. Methven	6123	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades State Park. In Tsuga and mixed hardwood forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712484
2712615	ILLS	ILLS00089836	A.S. Methven	6132	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Trail through preserve, Pine Hills Nature Preserve. Growing in mixed hadwoods with hemlock and Pinus.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712615
2712934	ILLS	ILLS00091388	A.S. Methven	6124	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712934
2713188	ILLS	ILLS00092708	James Knop	s.n.	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Turkey Backbone, Pine Hills Nature Preserve. In mixed deciduous forest with white pine, hemlock, and red cedar.	https://lichenportal.org/portal/collections/individual/index.php?occid=2713188
2713994	ILLS	ILLS00096348	James Knop	s.n.	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Turkey Backbone, Pine Hills Nature Preserve. Growing in mixed deciduous forest with white pine, hemlock, and red cedar.	https://lichenportal.org/portal/collections/individual/index.php?occid=2713994
2714087	ILLS	ILLS00096638	A.S. Methven	6126	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades State Park. Growing with Tsuga and mixed hardwood forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714087
2714108	ILLS	ILLS00095666	Randy Vogel	s.n.	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Shades State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714108
2714165	ILLS	ILLS00095818	David Ayer	s.n.	0.05	Indiana	Montgomery County	39.94171	-87.091677	outside_boundary_exact	Indiana, Parke County	Turkey Backbone, Pine Hills Nature Preserve.	https://lichenportal.org/portal/collections/individual/index.php?occid=2714165
