id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2703125	ILLS	ILLS00009048	Loy R. Phillippe	3011	63.58	119.65	Maryland	Worchester	38.162736	-75.163698	outside_boundary_similarity_0.8	not_found_in_US	Assateague Island along the Cranberry Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703125
2711584	ILLS	ILLS00008107	Loy R. Phillippe	s.n.	63.58	119.65	Maryland	Worchester County	38.162736	-75.163698	outside_boundary_similarity_0.8	not_found_in_US	Northern section of Assateague Island, Bayside Camground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2711584
2712814	ILLS	ILLS00090690	W. McClain	s.n.	26.53	80.07	Maryland	Anne Arundel County	38.603175	-76.938584	outside_boundary_exact	Maryland, Charles County	St. Charles.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712814
2701265	ILLS	ILLS00094568	Loy R. Phillippe	3046	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	4.2 mile west of junction of Route 13 & Route 363 along Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701265
2701342	ILLS	ILLS00096214	Loy R. Phillippe	3049	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	Along Route 363, wooded roadside, 4.2 mile west of junction US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701342
2701385	ILLS	ILLS00096882	Loy R. Phillippe	3048	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	Along Route 363, low wooded roadside 4.2 mile west of junction US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701385
2704145	ILLS	ILLS00094569	Loy R. Phillippe	3045	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	4.2 mile west of junction of Route 13 & Route 363 along Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704145
2704146	ILLS	ILLS00094570	Loy R. Phillippe	3045	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	4.2 mile west of junction of Route 13 & Route 363 along Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704146
2704335	ILLS	ILLS00096215	Loy R. Phillippe	3049	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	Along Route 363, wooded roadside, 4.2 mile west of junction US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704335
2705399	ILLS	ILLS00006253	Loy R. Phillippe	3044	19.78	76.35	Maryland	Worchester	38.203822	-75.699235	outside_boundary_similarity_0.8	Maryland, Somerset County	Route 363, wooded roadside. 4.2 mile west of junction US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705399
2701266	ILLS	ILLS00094571	Loy R. Phillippe	3047	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	4.2 mile west of junctio of Route 13 and Route 363, along Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701266
2701330	ILLS	ILLS00096007	Loy R. Phillippe	3037	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	Along Route 363, wooded roadside, 4.2 mile west of junction of US 13 and Maryland Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701330
2701718	ILLS	ILLS00089557	Loy R. Phillippe	3040	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	Along Route 363, 4.2 mile west of junction US 13 and Maryland 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701718
2701731	ILLS	ILLS00090586	Loy R. Phillippe	3041	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	4.2 mile west of junction of US 13 and Maryland Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701731
2701737	ILLS	ILLS00098002	Loy R. Phillippe	3038	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	Along Route 363, wooded roadside, 4.2 mile west of junction of US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701737
2701738	ILLS	ILLS00098151	Loy R. Phillippe	3039	9.54	67.7	Maryland	Worcester	38.203822	-75.699235	outside_boundary_exact	Maryland, Somerset County	Along Route 363, woodd roadside, 4.2 mile west of junction US 13 and Route 363.	https://lichenportal.org/portal/collections/individual/index.php?occid=2701738
