id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2710316	ILLS	ILLS00005835	J.L. Crane	01-197	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior State Forest, In forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710316
2710405	ILLS	ILLS00090278	J.L. Crane	01-182.	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710405
2710407	ILLS	ILLS00096883	J.L. Crane	01-193.	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710407
2710408	ILLS	ILLS00101532	J.L. Crane	01-193.	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-422. L	https://lichenportal.org/portal/collections/individual/index.php?occid=2710408
2710409	ILLS	ILLS00010756	J.L. Crane	01-191.	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710409
2710410	ILLS	ILLS00005461	J.L. Crane	01-190.	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710410
2710430	ILLS	ILLS00092348	J.L. Crane	01-189	527.81	579.15	Michigan	Luce County	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior State Forest, In forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710430
2710513	ILLS	ILLS00005834	J.L. Crane	01-192	527.81	579.15	Michigan	Luce	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior State Forest, In forest along County Road H-422	https://lichenportal.org/portal/collections/individual/index.php?occid=2710513
2710413	ILLS	ILLS00009752	J.L. Crane	01-175.	431.41	536.04	Michigan	Alger	46.329	-92.7087	outside_boundary_exact	Minnesota, Pine County	Lake Superior Forest, In a forest along County Road H-58E	https://lichenportal.org/portal/collections/individual/index.php?occid=2710413
5768591	ILLS	ILLS00103608	Cunningham	Cunningham s.n.	246.4	308.87	Michigan	Cheboygan	46.496347	-87.760757	outside_boundary_exact	Michigan, Marquette County	Carp Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=5768591
2710788	ILLS	ILLS00004948	A. Methven	ASM 9698	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710788
2710801	ILLS	ILLS00005080	J. Goodman	s.n.	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710801
2710803	ILLS	ILLS00005078	J. Goodman	s.n.	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710803
2710886	ILLS	ILLS00005302	A. Methven	ASM 9705	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710886
2710895	ILLS	ILLS00005304	Scott Wilcer	s.n.	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710895
2710942	ILLS	ILLS00005463	M. Nicholson	s.n.	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2710942
2711033	ILLS	ILLS00005933	A. Methven	ASM 9719	199.67	275.29	Michigan	Cheboygan County	43.450579	-83.696353	outside_boundary_exact	Michigan, Tuscola County	Reese	https://lichenportal.org/portal/collections/individual/index.php?occid=2711033
