id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2702758	ILLS	ILLS00006756	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2702758
2703611	ILLS	ILLS00091487	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703611
2703987	ILLS	ILLS00094249	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703987
2704845	ILLS	ILLS00100061	J.L. Crane & J.D. Schoknecht	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tillotoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704845
2704846	ILLS	ILLS00100062	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tillotoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2704846
2705068	ILLS	ILLS00100823	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705068
2705069	ILLS	ILLS00100824	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705069
2705070	ILLS	ILLS00100825	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705070
2705333	ILLS	ILLS00008124	J.L. Crane & J.D. Schoknecht	s.n.	46.53	Mississippi	Yalobusha	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Holly Springs National Forest, Tallatoba Lake Campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=2705333
2711224	ILLS	ILLS00006757	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha County	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Tallatoba Lake Campground, Holly Springs National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2711224
2713585	ILLS	ILLS00094250	J.L. Crane	s.n.	46.53	Mississippi	Yalobusha County	34.572947	-89.307158	outside_boundary_exact	Mississippi, Marshall County	Tallatoba Lake Campground, Holly Springs National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2713585
2712513	ILLS	ILLS00089513	Ken E. Rogers and Louise Rogers	5563	13.15	Mississippi	Lamar County	31.346553	-89.209074	outside_boundary_exact	Mississippi, Forrest County	3 mile east of Petal Senior High School, Petal, Old Richton Road, Broom Farm.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712513
2703746	ILLS	ILLS00093709	J.L. Crane	s.n.	1.26	Mississippi	Amite	31.361035	-90.723407	outside_boundary_exact	Mississippi, Franklin County	Mississippi Route 98.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703746
2704050	ILLS	ILLS00094365	J.L. Crane	s.n.	1.26	Mississippi	Amite	31.361035	-90.723407	outside_boundary_exact	Mississippi, Franklin County	Mississippi Route 98	https://lichenportal.org/portal/collections/individual/index.php?occid=2704050
2704172	ILLS	ILLS00094675	J.L. Crane	s.n.	1.26	Mississippi	Amite	31.361035	-90.723407	outside_boundary_exact	Mississippi, Franklin County	Mississippi Route 98	https://lichenportal.org/portal/collections/individual/index.php?occid=2704172
2713602	ILLS	ILLS00094676	J.L. Crane	s.n.	1.26	Mississippi	Amite County	31.361035	-90.723407	outside_boundary_exact	Mississippi, Franklin County	Mississippi Route 98.	https://lichenportal.org/portal/collections/individual/index.php?occid=2713602
2717078	ILLS	ILLS00091486	J.W. Thomson	20406	0.06	Mississippi	Rankin County	32.385262	-90.087447	outside_boundary_exact	Mississippi, Hinds County	South of Ross Barnett Reservoir on the Pearl River, in oak-loblolly pine woods.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717078
2712255	ILLS	ILLS00010162	John E. Ebinger	s.n.	NA	Mississippi	Brown County	34.71956	-88.938137	county_not_matched_no_match	county_not_matched	Logan Creek, 1 mile southeast of Ripley, mesic ravine.	https://lichenportal.org/portal/collections/individual/index.php?occid=2712255
