id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2706355	ILLS	ILLS00006323	J.L. Crane	97-308	7258.96	7309.21	Missouri	Carter	37.066667	-5.5	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 miles north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706355
2706362	ILLS	ILLS00009830	J.L. Crane	97-304	7258.96	7309.21	Missouri	Carter	37.066667	-5.5	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 miles north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706362
2706383	ILLS	ILLS00007425	J.L. Crane	97-308	7258.96	7309.21	Missouri	Carter	37.066667	-5.5	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 miles north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706383
2706400	ILLS	ILLS00009289	J.L. Crane	97-320	7258.96	7309.21	Missouri	Carter	37.066667	-5.5	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 miles north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706400
2708197	ILLS	ILLS00006885	J.L. Crane & J.D. Schoknecht	s.n.	6112.42	6159.02	Missouri	Ste. Genevieve	37.862588	-18.034444	outside_boundary_standardized_exact	not_found_in_US	Ozora.	https://lichenportal.org/portal/collections/individual/index.php?occid=2708197
2706323	ILLS	ILLS00005723	J.L. Crane	97-319	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 mile north of Peck Ranch Road. Elevation 1200 to 1340 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706323
2706325	ILLS	ILLS00010143	J.L. Crane	97-318	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, calculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706325
2706336	ILLS	ILLS00010484	J.L. Crane	97-305	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, calculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706336
2706407	ILLS	ILLS00010861	J.L. Crane	97-314	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, calculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706407
2706420	ILLS	ILLS00091087	J.L. Crane	97-309	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, caculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706420
2706442	ILLS	ILLS00092068	J.L. Crane	97-325	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower, calculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706442
2706482	ILLS	ILLS00095498	J.L. Crane	97-321	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower caculated 1.8 mile north of Peck Ranch Road. Stegal Mountain. Elevation about 1200 to 1340 feet. Rhyolite glades and xeric igneous woodland on upper slopes and knobs.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706482
2706500	ILLS	ILLS00097421	J.L. Crane	97-315	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower calculated 1.8 mile north of Peck Ranch Road. elevation about 1200 to 1340 feet. Rhyolite glades and xeric igneous woodland on upper slopes and knobs.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706500
2706501	ILLS	ILLS00097467	J.L. Crane	97-322	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower calculated 1.8 mile north of Peck Ranch Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706501
2706530	ILLS	ILLS00099709	J.L. Crane	97-307	3354.6	3386.73	Missouri	Carter	5.5	-91.2	outside_boundary_exact	not_found_in_US	Peck Ranch Conservation Area, vicinity of Stegall Mountain fire tower and knob northwest of tower caculated 1.8 mile north of Peck Ranch Road. Elevation about 1200 to 1340 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706530
2706313	ILLS	ILLS00005172	J.L. Crane	97-236	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706313
2706314	ILLS	ILLS00005192	J.L. Crane	97-232	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706314
2706315	ILLS	ILLS00005244	J.L. Crane	97-228	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706315
2706316	ILLS	ILLS00005306	J.L. Crane	97-229	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706316
2706317	ILLS	ILLS00005307	J.L. Crane	97-251	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake. Elevation caculated 550 to 850 feet.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706317
2706318	ILLS	ILLS00005330	J.L. Crane	97-233	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706318
2706328	ILLS	ILLS00010304	J.L. Crane	97-238	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest. McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706328
2706329	ILLS	ILLS00010303	J.L. Crane	97-244	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow, and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706329
2706345	ILLS	ILLS00005908	J.L. Crane	97-243	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706345
2706369	ILLS	ILLS00009933	J.L. Crane	97-246	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow and along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706369
2706374	ILLS	ILLS00009969	J.L. Crane	97-250	1330	1373.72	Missouri	Oregon	48.816667	-91.35	outside_boundary_exact	not_found_in_US	Mark Twain National Forest, McCormack Lake Recreation Area, in lower portion of McCormack Hollow and adjacent Gasconade Dolomite bluff along north side of Eleven Point River east of McCormack Hollow, south of McCormack Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706374
