id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2705152	ILLS	ILLS00101537	J.R. Weir	16681	337.6	Montana	Mineral	47	-110	outside_boundary_exact	Montana, Judith Basin County	Haugan Mount	https://lichenportal.org/portal/collections/individual/index.php?occid=2705152
2703836	ILLS	ILLS00093469	W.S. Brenneman	s.n.	280.13	Montana	Chouteau	48.022536	-105.808635	outside_boundary_exact	Montana, McCone County	High Bluff, Coal Banks Landing (on Missouri River)	https://lichenportal.org/portal/collections/individual/index.php?occid=2703836
2707823	ILLS	ILLS00090152	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line	https://lichenportal.org/portal/collections/individual/index.php?occid=2707823
2707824	ILLS	ILLS00090071	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line	https://lichenportal.org/portal/collections/individual/index.php?occid=2707824
2707825	ILLS	ILLS00090285	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line	https://lichenportal.org/portal/collections/individual/index.php?occid=2707825
2707827	ILLS	ILLS00092014	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral County	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2707827
2707832	ILLS	ILLS00101074	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line	https://lichenportal.org/portal/collections/individual/index.php?occid=2707832
2707835	ILLS	ILLS00101540	J.L. Crane & J.D. Schoknecht	s.n.	10.63	Montana	Mineral	47.5833	-115.5833	outside_boundary_exact	Montana, Sanders County	Lolo National Forest, 5 miles east of the Idaho-Montana line	https://lichenportal.org/portal/collections/individual/index.php?occid=2707835
3775212	ILLS	ILLS00171670	M.A. & M.F. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	FR 9485, Hall-Columbia Gulch Road, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775212
3775245	ILLS	ILLS00171699	M.A. & M.F. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	FR 9485, Hall-Columbia Gulch Road, open Douglas-fir forest above small stream, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775245
3775274	ILLS	ILLS00172282	Mark A. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	Fr 9485, Hall-Columbia Gulch Road, open Douglas-fir forest above small stream, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775274
3775275	ILLS	ILLS00172283	Mark A. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	Fr 9485, Hall-Columbia Gulch Road, open Douglas-fir forest above small stream, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775275
3775276	ILLS	ILLS00172284	Mark A. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	Fr 9485, Hall-Columbia Gulch Road, open Douglas-fir forest above small stream, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775276
3775277	ILLS	ILLS00172287	Mark A. Basinger	s.n.	9.99	Montana	Silver Bow	46.0833	-112.3333	outside_boundary_exact	Montana, Jefferson County	Fr 9485, Hall-Columbia Gulch Road, open Douglas-fir forest above small stream, Beaverhead-Deer Lodge National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=3775277
