institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
KANU	Thomas J Fitzpatrick; Mary F Fitzpatrick	Iowa	Johnson	201.72	outside_boundary_exact	Iowa, Decatur County	40.622777,-93.934116	381807	Lamoni	https://lichenportal.org/portal/collections/individual/index.php?occid=3136129
KANU	John Pearson	Iowa	Allamakee	181.55	outside_boundary_exact	Iowa, Muscatine County	41.45707,-91.28125	435635	Fish Farm Mounds Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5766186
KANU	John Pearson	Iowa	Warren	152.68	outside_boundary_exact	Iowa, Washington County	41.36436,-91.48879	435831	[Indianola]	https://lichenportal.org/portal/collections/individual/index.php?occid=5766459
KANU	M K Advaita	Iowa	Clarke	96.98	outside_boundary_exact	Missouri, Grundy County	40.0335,-93.741	385926	Osceola: ca 3 mi S, 1 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=1648427
KANU	John Pearson	Iowa	Linn	86.09	outside_boundary_exact	Iowa, Henry County	41.09077,-91.5123	434705	Palisades-Kepler State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5766911
KANU	John Pearson; M K Advaita	Iowa	Delaware	76.54	outside_boundary_exact	Iowa, Johnson County	41.61213,-91.56056	435664	Backbone State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5766206
KANU	John Pearson	Iowa	Jones	75.72	outside_boundary_exact	Iowa, Benton County	42.09082,-92.28652	386539	Wapsipinicon State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1649169
KANU	John Pearson	Iowa	Marion	56.14	outside_boundary_exact	Iowa, Madison County	41.32846,-94.00424	435789	Pella Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5766425
KANU	John Pearson	Iowa	Marion	56.14	outside_boundary_exact	Iowa, Madison County	41.32846,-94.00424	435790	Pella Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5766426
KANU	John Pearson	Iowa	Marion	56.14	outside_boundary_exact	Iowa, Madison County	41.32846,-94.00424	435791	Pella Wildlife Management Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5766427
KANU	John Pearson	Iowa	Fayette	45.55	outside_boundary_exact	Iowa, Floyd County	42.98256,-92.64304	434217	Clermont Sand Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=5411158
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385359	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568827
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385360	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568828
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385361	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568829
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385362	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568830
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385363	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568831
KANU	Craig C Freeman	Iowa	Fayette	27.75	outside_boundary_exact	Iowa, Winneshiek County	43.33031,-91.6502	385364	Clermont: N side of town	https://lichenportal.org/portal/collections/individual/index.php?occid=1568832
KANU	John Pearson	Iowa	Polk	8.23	outside_boundary_exact	Iowa, Warren County	41.43848,-93.74633	435894	Walnut Woods State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5766290
KANU	Clifford M Wetmore	Iowa	Floyd	6.16	outside_boundary_exact	Iowa, Butler County	42.8522222,-92.8947222	381216	Town of Marble Rock: 2 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=1333570
KANU	John Pearson	Iowa	Mahaska	2.78	outside_boundary_exact	Iowa, Marion County	41.30695,-92.90425	435815	Hwy 92 right-of-way near Harvey	https://lichenportal.org/portal/collections/individual/index.php?occid=5766521
KANU	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370811	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1326431
