id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1329782	KANU	381370	Theodore L Esslinger	6262	365.77	Minnesota	Saint Louis	43.3916667	-92.8833333	outside_boundary_standardized_exact	Iowa, Mitchell County	Kabetogama Lake: near the E end	https://lichenportal.org/portal/collections/individual/index.php?occid=1329782
1326808	KANU	381204	Clifford M Wetmore	87472	352.35	Minnesota	Cook	44.7438889	-93.5944444	outside_boundary_exact	Minnesota, Scott County	Shakopee: 5 mi SW	https://lichenportal.org/portal/collections/individual/index.php?occid=1326808
1339058	KANU	383285	M K Advaita	10357	217.09	Minnesota	Polk	45.541	-95.5251667	outside_boundary_exact	Minnesota, Pope County	Starbuck: ca 5 mi S	https://lichenportal.org/portal/collections/individual/index.php?occid=1339058
1648408	KANU	385895	M K Advaita	10370	217.09	Minnesota	Polk	45.541	-95.5251667	outside_boundary_exact	Minnesota, Pope County	Starbuck: ca 5 mi S	https://lichenportal.org/portal/collections/individual/index.php?occid=1648408
1337204	KANU	381155	Clifford M Wetmore	80511	85.93	Minnesota	Saint Louis	45.9252778	-91.8186111	outside_boundary_standardized_exact	Wisconsin, Washburn County	Duluth: 17 mi NE	https://lichenportal.org/portal/collections/individual/index.php?occid=1337204
1327324	KANU	375269	M K Advaita	4196	69.02	Minnesota	Lyon	44.3665	-96.9476667	outside_boundary_exact	South Dakota, Brookings County	Lynd: ca 2 mi S, 1 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327324
1646081	KANU	375270	M K Advaita	4197	69.02	Minnesota	Lyon	44.3665	-96.9476667	outside_boundary_exact	South Dakota, Brookings County	Lynd: ca 2 mi S, 1 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1646081
2683916	KANU	390023	M K Advaita	14810	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=2683916
3027974	KANU	398598	M K Advaita	14798	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027974
3027975	KANU	398599	M K Advaita	14799	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027975
3027976	KANU	398600	M K Advaita	14800	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027976
3027977	KANU	398601	M K Advaita	14801	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027977
3027978	KANU	398602	M K Advaita	14802	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027978
3027979	KANU	398603	M K Advaita	14803-A	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027979
3027980	KANU	398604	M K Advaita	14803-B	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027980
3027981	KANU	398605	M K Advaita	14804	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027981
3027982	KANU	398606	M K Advaita	14805	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027982
3027983	KANU	398607	M K Advaita	14806	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027983
3027984	KANU	398608	M K Advaita	14807	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027984
3027985	KANU	398609	M K Advaita	14808	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027985
3027986	KANU	398610	M K Advaita	14809	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027986
3027987	KANU	398611	M K Advaita	14811	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027987
3027988	KANU	398612	M K Advaita	14812	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027988
3027989	KANU	398613	M K Advaita	14813-A	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027989
3027990	KANU	398614	M K Advaita	14813-B	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027990
3027991	KANU	398615	M K Advaita	14814	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027991
3027992	KANU	398616	M K Advaita	14815	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027992
3027993	KANU	398617	M K Advaita	14816	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027993
3027994	KANU	398618	M K Advaita	14819	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027994
3027995	KANU	398619	M K Advaita	14820	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027995
3027996	KANU	398620	M K Advaita	14821	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027996
3027997	KANU	398621	M K Advaita	14822	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027997
3027998	KANU	398622	M K Advaita	14823	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027998
3027999	KANU	398623	M K Advaita	14824	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3027999
3028000	KANU	398624	M K Advaita	14825	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3028000
3028001	KANU	398625	M K Advaita	14826	67.41	Minnesota	Chippewa	45.04496	-96.8812	outside_boundary_exact	South Dakota, Grant County	Milan: 4.5 mi S, 1.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=3028001
