id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1330639	KANU	381158	Clifford M Wetmore	83990	282.94	Missouri	Taney	36.0780556	-96.4502778	outside_boundary_exact	Oklahoma, Creek County	Mark Twain National Forest: Hercules Glades Wilderness Area	https://lichenportal.org/portal/collections/individual/index.php?occid=1330639
3034015	KANU	399129	Douglas M Ladd	27370	230.34	Missouri	Taney	34.440103	-93.096987	outside_boundary_exact	Arkansas, Garland County	Drury-Mincy Conservation Area, W of impounded section of White River, E of Gunnison Rd, S of Fox Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=3034015
5410497	KANU	414048	Leland J Gier	6102	125.4	Missouri	Carter	36.986538	-92.642385	outside_boundary_exact	Missouri, Douglas County	Van Buren: 1 mi S	https://lichenportal.org/portal/collections/individual/index.php?occid=5410497
5410686	KANU	414228	Judi Prater	10932	109.97	Missouri	Newton	38.037177	-94.546	outside_boundary_exact	Missouri, Vernon County	McClelland Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5410686
4816888	KANU	415864	Taylor S Quedensley	20762	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816888
4816889	KANU	415865	Taylor S Quedensley	20771	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816889
4816890	KANU	415866	Taylor S Quedensley	20771	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816890
4816891	KANU	415867	Taylor S Quedensley	20772	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816891
4816892	KANU	415868	Taylor S Quedensley	20785	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816892
4816893	KANU	415869	Taylor S Quedensley	20785	42.8	Missouri	Atchison	40.965	-95.5628889	outside_boundary_exact	Iowa, Mills County	Rock Port: ca 4.5 mi NW	https://lichenportal.org/portal/collections/individual/index.php?occid=4816893
1339611	KANU	384790	Douglas M Ladd	24794	8.28	Missouri	Ozark	36.4238889	-92.7463889	outside_boundary_exact	Arkansas, Marion County	Mark Twain National Forest: N of Glade Top Trail (FS 147), ca 3 mi NE of jct with FS 150	https://lichenportal.org/portal/collections/individual/index.php?occid=1339611
5410670	KANU	414160	Shirley Lett	10549	4.68	Missouri	McDonald	36.457715	-94.586185	outside_boundary_exact	Arkansas, Benton County	T21N, R34W, sec 34	https://lichenportal.org/portal/collections/individual/index.php?occid=5410670
5410690	KANU	414115	John Kendrick	10963	4.27	Missouri	Newton	37.092851	-94.45647	outside_boundary_exact	Missouri, Jasper County	T27N, R32W, sec 5, SW 1/4, NW 1/4	https://lichenportal.org/portal/collections/individual/index.php?occid=5410690
5410369	KANU	413938	Francis Drouet	388	1.31	Missouri	Boone	38.796525	-92.129376	outside_boundary_exact	Missouri, Callaway County	Federal Wildlife Area E of Ashland	https://lichenportal.org/portal/collections/individual/index.php?occid=5410369
5410359	KANU	413710	Edward C Berry	202	1.26	Missouri	Boone	38.849125	-92.465883	outside_boundary_exact	Missouri, Moniteau County	Columbia: 10 mi SW	https://lichenportal.org/portal/collections/individual/index.php?occid=5410359
4993234	KANU	416204	Douglas M Ladd	33903	0.06	Missouri	Texas	37.0483	-91.6933	outside_boundary_exact	Missouri, Howell County	Mountain View: ca 4.3 mi N	https://lichenportal.org/portal/collections/individual/index.php?occid=4993234
5384656	KANU	414326	Douglas M Ladd	33903	0.06	Missouri	Texas	37.0483	-91.6933	outside_boundary_exact	Missouri, Howell County	Mountain View: ca 4.3 mi N	https://lichenportal.org/portal/collections/individual/index.php?occid=5384656
