id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1328417	KANU	381270	Irwin M Brodo	841	76.35	New York	Suffolk	40.8355556	-70.9172222	outside_boundary_exact	not_found_in_US	Long Island: 6.5 mi NE East Patchogue	https://lichenportal.org/portal/collections/individual/index.php?occid=1328417
1332240	KANU	381258	Irwin M Brodo	836	76.35	New York	Suffolk	40.8355556	-70.9172222	outside_boundary_exact	not_found_in_US	Long Island: 6.5 mi NE East Patchogue	https://lichenportal.org/portal/collections/individual/index.php?occid=1332240
4770687	KANU	407001	Caleb A Morse	26372	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770687
4770688	KANU	407002	Caleb A Morse	26373	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770688
4770689	KANU	407003	Caleb A Morse	26374	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770689
4770690	KANU	407004	Caleb A Morse	25375	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770690
4770691	KANU	407005	Caleb A Morse	25376	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770691
4770692	KANU	407006	Caleb A Morse	26378	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770692
4770693	KANU	407008	Caleb A Morse	26377b	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770693
4770694	KANU	407009	Caleb A Morse	26379	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770694
4770695	KANU	407010	Caleb A Morse	26380a	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770695
4770696	KANU	407011	Caleb A Morse	26380a	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770696
4770697	KANU	407012	Caleb A Morse	26380b	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770697
4770698	KANU	407013	Caleb A Morse	26381	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770698
4770699	KANU	407014	Caleb A Morse	26382	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770699
4770700	KANU	407015	Caleb A Morse	26383a	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770700
4770701	KANU	407016	Caleb A Morse	26383b	0.17	New York	Livingston	42.588233	-78.016077	outside_boundary_exact	New York, Wyoming County	Mount Morris: ca 9.5 mi S, 7.3 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=4770701
