id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3135870	KANU	390125	James C Lendemer; Jessica L Allen; Erin A Tripp	36362	85.61	North Carolina	Washington	35.9488889	-75.4005556	outside_boundary_exact	not_found_in_US	Bull Neck Swamp: Deep Creek Rd, N of jct with Bear Ln	https://lichenportal.org/portal/collections/individual/index.php?occid=3135870
1334821	KANU	382964	James C Lendemer; Signa Williams	20096	55.08	North Carolina	Camden	36.5472222	-75.4236111	outside_boundary_exact	not_found_in_US	Dismal Swamp State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1334821
3579778	KANU	408885	Erin A Tripp; James C Lendemer	4999	33.5	North Carolina	Haywood	35.49381	-83.557989	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mtns National Park: jct of Forney Creek trail to Springhouse Branch Trail along Forney Ridge Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3579778
3579777	KANU	408884	Erin A Tripp; James C Lendemer	4994	27.76	North Carolina	Haywood	35.549191	-83.503793	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mtns National Park: Forney Creek Trail between Campsite 69 and jct with Andrew's Bald Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3579777
3579776	KANU	408883	Erin A Tripp; James C Lendemer	4978	26.87	North Carolina	Haywood	35.550687	-83.492837	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mtns National Park: Forney Creek Trail between Campsite 68 and jct with Andrew's Bald Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=3579776
3135044	KANU	390256	Erin A Tripp; James C Lendemer	6053	3.31	North Carolina	Graham	35.483511	-83.814758	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mountains National Park: Appalachian Trail ca 0.5 mi S Shuckstack Fire Tower	https://lichenportal.org/portal/collections/individual/index.php?occid=3135044
3135045	KANU	390257	Erin A Tripp; James C Lendemer	6053	3.31	North Carolina	Graham	35.483511	-83.814758	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mountains National Park: Appalachian Trail ca 0.5 mi S Shuckstack Fire Tower	https://lichenportal.org/portal/collections/individual/index.php?occid=3135045
3135046	KANU	390258	Erin A Tripp; James C Lendemer	6055	3.31	North Carolina	Graham	35.483511	-83.814758	outside_boundary_exact	North Carolina, Swain County	Great Smoky Mountains National Park: Appalachian Trail ca 0.5 mi S Shuckstack Fire Tower	https://lichenportal.org/portal/collections/individual/index.php?occid=3135046
3579718	KANU	408824	Erin A Tripp	4732	2.74	North Carolina	Dare	35.6444444	-75.9783333	outside_boundary_exact	North Carolina, Hyde County	Alligator River National Wildlife Refuge: Chip Rd 2 mi SW of jct with Whipping Creek Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=3579718
3579719	KANU	408825	Erin A Tripp	4733	2.74	North Carolina	Dare	35.6444444	-75.9783333	outside_boundary_exact	North Carolina, Hyde County	Alligator River National Wildlife Refuge: Chip Rd 2 mi SW of jct with Whipping Creek Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=3579719
