institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
KANU	M K Advaita	South Dakota	Turner	100.88	outside_boundary_exact	South Dakota, Brookings County	44.36736,-96.56706	390240	Bushnell: 2.7 mi N, 3.5 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=2684224
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	382850	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1328589
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	383279	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1332606
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	384815	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1339679
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	384816	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1339680
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	386755	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=2683568
KANU	M K Advaita	South Dakota	Hand	44.87	outside_boundary_exact	South Dakota, Spink County	44.6396667,-98.139	389896	Miller: 6 mi N, 7 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=2683710
KANU	M K Advaita	South Dakota	Grant	44.06	outside_boundary_exact	Minnesota, Swift County	45.2513889,-95.8911111	381233	Marvin: ca 1 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=1326528
KANU	M K Advaita	South Dakota	Potter	38.32	outside_boundary_exact	South Dakota, Sully County	44.55767,-100.4796	399284	Okobojo: 6 mi S, 4 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=3034239
KANU	M K Advaita	South Dakota	Potter	38.32	outside_boundary_exact	South Dakota, Sully County	44.55767,-100.4796	407742	Okobojo: 6 mi S, 4 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=3135502
