id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3988534	LD	1735265	Clifford M. Wetmore	NA	2049.75	Louisiana	East Baton Rouge	47.35222222	-101.3925	outside_boundary_exact	North Dakota, Mercer County	Knife River Indian Villages National Historic Site. 2 mi N of visitors center	https://lichenportal.org/portal/collections/individual/index.php?occid=3988534
3988869	LD	1757753	Shirley Tucker	NA	36.55	Louisiana	Tangipahoa	30.8	-90.95	outside_boundary_exact	Louisiana, East Feliciana County	along mouth of Tangipahoa River, north shore of lake Pontchartrain	https://lichenportal.org/portal/collections/individual/index.php?occid=3988869
3964159	LD	1469743	Shirley Tucker & Stefan Ekman	NA	13.84	Louisiana	Tangipahoa	30.33333333	-90.05	outside_boundary_exact	Louisiana, St. Tammany County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=3964159
3918358	LD	1001662	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3918358
3938622	LD	1079386	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3938622
3957430	LD	1283896	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3957430
3959363	LD	1364455	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3959363
3959685	LD	1404108	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3959685
3962105	LD	1449948	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3962105
3962140	LD	1450272	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3962140
3974584	LD	1566325	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3974584
3980047	LD	1639844	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=3980047
4003569	LD	1902003	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4003569
4004338	LD	1910116	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4004338
4004376	LD	1910515	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4004376
4009559	LD	1968483	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4009559
4009664	LD	1969698	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental far about 3 miles SE of Clinton	https://lichenportal.org/portal/collections/individual/index.php?occid=4009664
4010368	LD	1981345	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4010368
4795704	LD	2183220	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	Idlewild Experimental farm	https://lichenportal.org/portal/collections/individual/index.php?occid=4795704
5373186	LD	2112657	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5373186
5374881	LD	2123458	P. O. Schallert	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5374881
5389484	LD	2123271	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5389484
5607786	LD	2208275	Shirley C. Tucker	NA	8.2	Louisiana	East Feliciana	30.8	-90.75	outside_boundary_exact	Louisiana, St. Helena County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5607786
