id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3929961	LD	1044957	I. M. Brodo	NA	1.22	Virginia	Page	38.56666667	-78.36666667	outside_boundary_exact	Virginia, Madison County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=3929961
3946032	LD	1132072	I. M. Brodo	NA	1.22	Virginia	Page	38.56666667	-78.36666667	outside_boundary_exact	Virginia, Madison County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=3946032
4007245	LD	1941937	I. M. Brodo	NA	1.22	Virginia	Page	38.56666667	-78.36666667	outside_boundary_exact	Virginia, Madison County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=4007245
5795234	LD	2219551	I. M. Brodo	NA	1.22	Virginia	Page	38.56666667	-78.36666667	outside_boundary_exact	Virginia, Madison County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5795234
5859717	LD	2240468	I. M. Brodo	NA	1.22	Virginia	Page	38.56666667	-78.36666667	outside_boundary_exact	Virginia, Madison County	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5859717
3944871	LD	1108297	M. E. Hale	NA	0.04	Virginia	Page	38.55527778	-78.395	outside_boundary_exact	Virginia, Madison County	Hawksbill Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=3944871
3958125	LD	1305829	M. E. Hale	NA	0.04	Virginia	Page	38.55527778	-78.395	outside_boundary_exact	Virginia, Madison County	Hawksbill Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=3958125
3929980	LD	1045021	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3929980
3930062	LD	1045277	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3930062
3931395	LD	1049488	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3931395
3938606	LD	1079322	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3938606
3938901	LD	1080604	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3938901
3957068	LD	1278727	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3957068
3958293	LD	1310029	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=3958293
5794625	LD	2203094	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=5794625
5859202	LD	2234707	M. E. Hale	NA	0.02	Virginia	Page	38.60138889	-78.36861111	outside_boundary_exact	Virginia, Madison County	Little Stony Man	https://lichenportal.org/portal/collections/individual/index.php?occid=5859202
3980360	LD	1641892	D. H. Linder	NA	NA	Virginia	Richmond city	37.54083333	-77.43611111	county_not_matched_no_match	county_not_matched	Richmond	https://lichenportal.org/portal/collections/individual/index.php?occid=3980360
5608349	LD	2220755	D. H. Linder & R. F. Smart	NA	NA	Virginia	Richmond city	37.531399	-77.476009	county_not_matched_no_match	county_not_matched	No locality information available	https://lichenportal.org/portal/collections/individual/index.php?occid=5608349
