id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1520931	LSU	LSU00107366	Shirley C. Tucker	28358	6214.68	Louisiana	Washington	89.861111	-30.905556	outside_boundary_exact	not_found_in_US	Pushepatapa Creek, 1 mi. W of Varnado.	https://lichenportal.org/portal/collections/individual/index.php?occid=1520931
3769054	LSU	LSU00163495	Shirley C. Tucker	27601B	5624.39	Louisiana	East Baton Rouge	30.379167	-31.125	outside_boundary_exact	not_found_in_US	Baird Drive, south Baton Rouge	https://lichenportal.org/portal/collections/individual/index.php?occid=3769054
1521742	LSU	LSU00107868	Shirley C. Tucker	29298	158.95	Louisiana	West Feliciana	32.063766	-92.900664	outside_boundary_exact	Louisiana, Winn County	E of Saline Bayou on dead-end gravel rd 1 mi. from junction with State 1233, about 5 mi. N of La. Hwy 156 east of Goldonna.	https://lichenportal.org/portal/collections/individual/index.php?occid=1521742
1511776	LSU	LSU00123463	Shirley C. Tucker	17473	123.12	Louisiana	Claiborne	31.48	-92.981944	outside_boundary_exact	Louisiana, Natchitoches County	Kisatchie National Forest, Longleaf Trail Vista, Red Dirt Game Management Area, about 35 miles W-NW of Alexandria. Longleaf Vista Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1511776
1513282	LSU	LSU00057789	Shirley C. Tucker	10254	87.87	Louisiana	Washington	30.7916667	-91.2583333	outside_boundary_exact	Louisiana, West Feliciana County	Along Bogue Chitto Branch, at road 38, 6.2 mi. east of Mount Hermon.	https://lichenportal.org/portal/collections/individual/index.php?occid=1513282
1529139	LSU	LSU00132460	Shirley C. Tucker	17199	84.23	Louisiana	East Baton Rouge	30.45	-90.0166667	outside_boundary_exact	Louisiana, St. Tammany County	Centurion Place Subdivision. 4 mi. E of intersection of Airline Hwy and Florida Blvd, Baton Rouge.	https://lichenportal.org/portal/collections/individual/index.php?occid=1529139
1529175	LSU	LSU00101851	Shirley C. Tucker	16226	84.23	Louisiana	East Baton Rouge	30.45	-90.0166667	outside_boundary_exact	Louisiana, St. Tammany County	Centurion Place Subdivision. 4 mi. E of intersection of Airline Hwy and Florida Blvd, Baton Rouge.	https://lichenportal.org/portal/collections/individual/index.php?occid=1529175
1522659	LSU	LSU00109681	Latimore M. Smith	s.n.	69.7	Louisiana	East Baton Rouge	30.383333	-90.166667	outside_boundary_exact	Louisiana, St. Tammany County	Bee Lab on Ben Hur Road just off Nicholson Drive, SE of Baton Rouge. Louisiana State University Agricultural Center, Central Research Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1522659
1522323	LSU	LSU00109285	Gerald Lenhard	s.n.	58.8	Louisiana	Saint James	29.73191	-90.07511	outside_boundary_standardized_exact	Louisiana, Jefferson County	On Bayou Chevreuil, Lower Vacherie.	https://lichenportal.org/portal/collections/individual/index.php?occid=1522323
1528319	LSU	LSU00131392	Shirley C. Tucker	29148B	53.03	Louisiana	Tangipahoa	30.4083333	-91.1125	outside_boundary_exact	Louisiana, East Baton Rouge County	Tangipahoa River (west bank), nr end of Ogden Lane, Town of Amite.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528319
1518877	LSU	LSU00095545	Penny F. Boyd; Alan W. Boyd	2724	38.8	Louisiana	Lincoln	32.542643	-93.29518	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1518877
1512987	LSU	LSU00057498	Penny F. Boyd; Alan W. Boyd	2710	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, Louisiana. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512987
1513541	LSU	LSU00058067	Alan W. Boyd; Penny F. Boyd	2731	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145. Sibley	https://lichenportal.org/portal/collections/individual/index.php?occid=1513541
1515002	LSU	LSU00060048	Penny F. Boyd; Alan W. Boyd	2733	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1515002
1515821	LSU	LSU00083823	Alan W. Boyd; Penny F. Boyd	2721	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley Louisiana. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1515821
1516268	LSU	LSU00084021	Alan W. Boyd; Penny N. Boyd	2717	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, Louisiana. Just north of Lincoln Parish road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1516268
1516570	LSU	LSU00084540	Alan W. Boyd; Penny F. Boyd	2727	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1516570
1517640	LSU	LSU00092078	Shirley C. Tucker	2734	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. just north of Lincoln Parish Road 42, about 1.2 miles E of La Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1517640
1517884	LSU	LSU00092810	Alan W. Boyd; Penny N. Boyd	2709	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, just north of Lincoln Parish road 42, ca 1.2 miles east of Louisiana highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1517884
1517972	LSU	LSU00092936	Penny F. Boyd	s.n.	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, ca 1.2 miles east of La Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1517972
1518331	LSU	LSU00093441	Alan W. Boyd	2708	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, just north of Lincoln parish road 42, ca 1.2 miles east of Louisiana Hwy 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1518331
1518332	LSU	LSU00093442	Alan W. Boyd	2738	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, just north of Lincoln parish road 42, ca 1.2 miles east of Louisiana Hwy 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1518332
1518704	LSU	LSU00095894	Penny F. Boyd	2711	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, just north of Lincoln Parish Road 42, about 1.2 miles east of LA 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1518704
1519044	LSU	LSU00100253	Alan W. Boyd; Penny F. Boyd	2715	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of LA 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519044
1519237	LSU	LSU00101025	Penny F. Boyd; Alan W. Boyd	2707	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley, just north of Lincoln Parish Road 42, about 1.2 miles east of La. Hwy. 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519237
1519351	LSU	LSU00101242	Penny F. Boyd; Alan W. Boyd	2712	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of LA 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519351
1519411	LSU	LSU00102180	Penny F. Boyd; Alan W. Boyd	2718	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519411
1519632	LSU	LSU00102401	Penny F. Boyd	2730	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519632
1519661	LSU	LSU00105754	Penny F. Boyd; Alan W. Boyd	2719	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145. Sibley	https://lichenportal.org/portal/collections/individual/index.php?occid=1519661
1519662	LSU	LSU00105755	Penny F. Boyd	2737	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145. Sibley	https://lichenportal.org/portal/collections/individual/index.php?occid=1519662
1519793	LSU	LSU00102895	Penny F. Boyd	2716	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1519793
1520206	LSU	LSU00106605	Penny F. Boyd; Alan W. Boyd	2713	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1520206
1520462	LSU	LSU00107241	Penny F. Boyd; Alan W. Boyd	2726	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1520462
1520947	LSU	LSU00108106	Penny F. Boyd; Alan W. Boyd	2728	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1520947
1521506	LSU	LSU00108921	Penny F. Boyd; Alan W. Boyd	2723	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of LA 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1521506
1521639	LSU	LSU00109061	Penny F. Boyd; Alan W. Boyd	2729	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of LA 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1521639
1523146	LSU	LSU00110368	Penny F. Boyd; Alan W. Boyd	2725	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1523146
1525786	LSU	LSU00128078	Alan W. Boyd	2740	38.78	Louisiana	Lincoln	32.543043	-93.295079	outside_boundary_exact	Louisiana, Webster County	Sibley. Just north of Lincoln Parish Road 42, about 1.2 miles east of Louisiana Highway 145.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525786
