institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
LSU	L. L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00140163	Forty Acre Rock; NE of Kershaw and ca. 15 mi. SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1374495
LSU	L. L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00140255	Forty-Acre Rock, NE of Kershaw and about 15 mi. SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1375918
LSU	R. E. Weaver	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00143532	Forty-Acre Rock, NE of Kershaw and about 15 mi. SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1442386
LSU	L. L. Loops	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00144953	Forty Acre Rock, NE of Kershaw and about 15 mi. SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1457207
LSU	L. L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00150943	Forty Acre Rock; NE of Kershaw and about 15 mi. SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1482795
LSU	William L. Cluberson	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00130467	Forty-Acre Rock near the town of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527363
LSU	L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00131132	Forty Acre Rock; NE of Kershaw and about 15 mi SW of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528059
LSU	William L. Cluberson	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00131133	Forty-Acre Rock near the town of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528060
LSU	L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00131347	Forty-Acre Rock; NE of Kershaw and about 15 mi. SW of Pageland. Fourty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1528274
LSU	Unknown	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00131348	Forty-Acre Rock near the town of Pageland. Fourty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1528275
LSU	L. Loope	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00130432	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=1528579
LSU	William L. Cluberson	South Carolina	Lancaster	171.36	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00130434	Forty-Acre Rock near the town of Pageland.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528582
LSU	George T. Johnson	South Carolina	York	2.48	outside_boundary_exact	South Carolina, Cherokee County	35.069939,-81.453223	LSU00147372	5 mi SE of Blacksburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470522
LSU	George T. Johnson	South Carolina	York	2.48	outside_boundary_exact	South Carolina, Cherokee County	35.069939,-81.453223	LSU00147723	5 mi SE of Blacksburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470843
LSU	George T. Johnson	South Carolina	York	2.48	outside_boundary_exact	South Carolina, Cherokee County	35.069939,-81.453223	LSU00149852	5 mi SE of Blacksburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1477928
LSU	George T. Johson	South Carolina	York	2.48	outside_boundary_exact	South Carolina, Cherokee County	35.069939,-81.453223	LSU00149719	5 mi SE of Blacksburg.	https://lichenportal.org/portal/collections/individual/index.php?occid=1486891
LSU	George T. Johnson	South Carolina	Horry	1.88	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00147610	Near Murrels Inlet.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470730
LSU	George T. Johnson	South Carolina	Horry	1.88	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00149714	Near Murrels Inlet.	https://lichenportal.org/portal/collections/individual/index.php?occid=1477791
LSU	George T. Johnson	South Carolina	Horry	1.88	outside_boundary_exact	South Carolina, Georgetown County	33.554875,-79.056547	LSU00149848	Near Murrels Inlet.	https://lichenportal.org/portal/collections/individual/index.php?occid=1477924
LSU	George T. Johnson	South Carolina	Johnson	NA	county_not_matched_no_match	county_not_matched	33.890711,-80.053363	LSU00149710	2 mi W of Turbeville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1477787
