institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
LSU	Cindy R. Edwardson	Texas	Nacogdoches	449.49	outside_boundary_exact	Texas, Runnels County	31.583333,-99.733333	LSU00145349	MACEDONIA CHURCH ROAD: Off of FM rd. 225.	https://lichenportal.org/portal/collections/individual/index.php?occid=1462339
LSU	Alan W. Lievens	Texas	Harris	179.42	outside_boundary_exact	Texas, Travis County	30.310427,-97.819897	LSU00147362	Collected in Wild Basin Preserve off Loop 360 in the western part of Austin.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470512
LSU	Shirley C. Tucker	Texas	Tyler	157.54	outside_boundary_exact	Texas, Smith County	32.3143,-95.331524	LSU00141310	unspecified.	https://lichenportal.org/portal/collections/individual/index.php?occid=1391200
LSU	Shirley C. Tucker; Alan W. Lievens	Texas	Bexar	119.89	outside_boundary_exact	Texas, Fayette County	30.008502,-97.042077	LSU00115487	Picnic area 7 mi. E. of Smithville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512833
LSU	Alan W. Lievens	Texas	Austin	114.22	outside_boundary_exact	Texas, Travis County	30.23784,-97.787933	LSU00117933	N of Porter Middle School, N of 2200-2300 block of Panther Tr., E of S. Lamar, city of Austin.	https://lichenportal.org/portal/collections/individual/index.php?occid=1523856
LSU	Shirley C. Tucker	Texas	Brazos	99.69	outside_boundary_exact	Texas, Harris County	29.705717,-95.407209	LSU00141297	Campus of Texas A&M College, College Station.	https://lichenportal.org/portal/collections/individual/index.php?occid=1391187
LSU	Shirley C. Tucker	Texas	Brazos	99.69	outside_boundary_exact	Texas, Harris County	29.705717,-95.407209	LSU00146388	Campus of Texas A & M University, College Station.	https://lichenportal.org/portal/collections/individual/index.php?occid=1465734
LSU	Shirley C. Tucker	Texas	Brazos	99.69	outside_boundary_exact	Texas, Harris County	29.705717,-95.407209	LSU00148205	On campus of Texas A & M, College Station.	https://lichenportal.org/portal/collections/individual/index.php?occid=1473115
LSU	Shirley C. Tucker	Texas	Brazos	99.69	outside_boundary_exact	Texas, Harris County	29.705717,-95.407209	LSU00121119	on campus of Texas A. & M. Univ., College Station. Texas A. & M. University	https://lichenportal.org/portal/collections/individual/index.php?occid=1524975
LSU	Robert Murry	Texas	Frio	43.41	outside_boundary_exact	Texas, McMullen County	28.516667,-98.383333	LSU00146119	On east side of bend of Frio River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1464954
LSU	Robert E. Murry	Texas	Frio	43.41	outside_boundary_exact	Texas, McMullen County	28.516667,-98.383333	LSU00146520	On east side of bend of Frio River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1465870
LSU	Robert Murry	Texas	Frio	43.41	outside_boundary_exact	Texas, McMullen County	28.516667,-98.383333	LSU00149252	On east side of bend of Frio River.	https://lichenportal.org/portal/collections/individual/index.php?occid=1476398
