id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1527862	LSU	LSU00130934	Shirley C. Tucker	6579	62.38	Virginia	Prince William	38.59794	-78.37267	outside_boundary_exact	Virginia, Page County	Along trail to Stony Man Peak, Shenandoah Park. Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1527862
1478660	LSU	LSU00150218	Shirley C. Tucker	6994	16.2	Virginia	Madison	38.75901	-78.26084	outside_boundary_exact	Virginia, Warren County	Little Hogmack mountain near Blue Ridge Parkway in Shenandoah mountains, Shenandoah National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1478660
1460580	LSU	LSU00145222	Henry A. Imshaug	38567	6.48	Virginia	Madison	38.630676	-78.434451	outside_boundary_exact	Virginia, Page County	Stony Man.	https://lichenportal.org/portal/collections/individual/index.php?occid=1460580
1524644	LSU	LSU00115594	Shirley C. Tucker	6989a	2.06	Virginia	Page	38.75901	-78.26084	outside_boundary_exact	Virginia, Warren County	Near Little Hogback Peak, Shenendoah National Park. Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1524644
1452436	LSU	LSU00144350	Shirley C. Tucker	6589	1.4	Virginia	Page	38.56431	-78.36441	outside_boundary_exact	Virginia, Madison County	White Oak Canyon trail, to Dark Hollow falls, Shenandoah Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452436
1478467	LSU	LSU00149938	Shirley C. Tucker	6591	1.4	Virginia	Page	38.56431	-78.36441	outside_boundary_exact	Virginia, Madison County	White Oak Canyon trail, Shenandoah Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1478467
1512535	LSU	LSU00115960	Shirley C. Tucker	6595	1.4	Virginia	Page	38.56431	-78.36441	outside_boundary_exact	Virginia, Madison County	White Oak Canyon trail, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1512535
1525573	LSU	LSU00127822	Shirley C. Tucker	6592	1.4	Virginia	Page	38.56431	-78.36441	outside_boundary_exact	Virginia, Madison County	White Oak Canyon trail, Shenandoah Park, Virginia (same trail went to Dark Hollow Falls). Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1525573
1524356	LSU	LSU00119501	Shirley C. Tucker	6520	0.44	Virginia	Madison	38.52744	-78.447862	outside_boundary_exact	Virginia, Page County	Lewis Falls trail from Big Meadows Lodge, Shenandoah National Park, Virginia	https://lichenportal.org/portal/collections/individual/index.php?occid=1524356
1527154	LSU	LSU00130241	Shirley C. Tucker	6530	0.44	Virginia	Madison	38.52744	-78.447862	outside_boundary_exact	Virginia, Page County	Shenandoah National Park: Lewis Falls Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1527154
1392501	LSU	LSU00141492	Sam Shushan	sl-2888	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Shenandoah National Park; Crescent Rock Overlook ca. 27 air miles south of Front Royal.	https://lichenportal.org/portal/collections/individual/index.php?occid=1392501
1452418	LSU	LSU00144340	Sam Shushan	sl-2877	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Shenandoah National Park; Crescent Rock Overlook ca. 27 air miles south of Front Royal.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452418
1464583	LSU	LSU00145843	Shirley C. Tucker	6565	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Crescent Gap Trail, Shenandoah National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1464583
1479150	LSU	LSU00150277	Shirley C. Tucker	6571	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Crescent Gap trail, Shenandoah Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1479150
1512793	LSU	LSU00115592	Shirley C. Tucker	6551b	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Crescent Gap trail, Shenandoah Park. Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1512793
1524653	LSU	LSU00114533	Shirley C. Tucker	6552	0.36	Virginia	Page	38.56798	-78.37701	outside_boundary_exact	Virginia, Madison County	Along Crescent Gap Trail, Shenandoah Park. Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1524653
1469952	LSU	LSU00146851	Richard C. Harris	3606	0.02	Virginia	Shenandoah	38.92454	-78.68888	outside_boundary_exact	West Virginia, Hardy County	SHENANDOAH / HARDY COUNTIES: George Washington National Forest, Wolf Gap campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1469952
1486371	LSU	LSU00150415	Richard C. Harris	3597-A	0.02	Virginia	Shenandoah	38.92454	-78.68888	outside_boundary_exact	West Virginia, Hardy County	SHENANDOAH / HARDY COUNTIES:George Washington National Forest, Wolf Gap campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1486371
1512284	LSU	LSU00119321	Shirley C. Tucker	6984	0.02	Virginia	Page	38.70146	-78.32493	outside_boundary_exact	Virginia, Rappahannock County	Shenandoah National Park, near Byrd's Nest Shelter on Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1512284
1512597	LSU	LSU00115593	Shirley C. Tucker	6989	0.02	Virginia	Page	38.70146	-78.32493	outside_boundary_exact	Virginia, Rappahannock County	Shenandoah mountains near Byrd's Nest Shelter, Shenendoah National Park. Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1512597
1512728	LSU	LSU00115071	Shirley C. Tucker	6988	0.02	Virginia	Page	38.70146	-78.32493	outside_boundary_exact	Virginia, Rappahannock County	Near Byrd's Nest Shelter on Appalachian Trail, Shenandoah National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512728
1528199	LSU	LSU00131272	Richard C. Harris	3516	0.02	Virginia	Shenandoah	38.92454	-78.68888	outside_boundary_exact	West Virginia, Hardy County	George Washington National Forest, Wolf Gap campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=1528199
1456771	LSU	LSU00144496	Henry A. Imshaug	38653	0.01	Virginia	Page	38.601511	-78.368616	outside_boundary_exact	Virginia, Madison County	Little Stony Man.	https://lichenportal.org/portal/collections/individual/index.php?occid=1456771
1475390	LSU	LSU00149095	Henry A. Imshaug	38654	0.01	Virginia	Page	38.601511	-78.368616	outside_boundary_exact	Virginia, Madison County	Little Stony Man.	https://lichenportal.org/portal/collections/individual/index.php?occid=1475390
1524835	LSU	LSU00114128	Shirley C. Tucker	6998B	0	Virginia	Warren	38.75901	-78.26084	outside_boundary_exact	Virginia, Warren County	Little Hogback Peak, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1524835
