institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
LSU	Gerhard Follmann	Washington	Clallam	147.55	outside_boundary_exact	Washington, Lewis County	46.648321,-122.158365	LSU00191931	Hochwald am Storm King Mountain Trail in den Olympic Mountains im Clallam County. [High forest along the Storm King Mountain Trail in the Olympic Mountains of Clallam County] gesellig an Schuppenborke im halbschattigen Mittelstamm- und Unterkronenteil von Nadelbäumen im Pseudevernion furfuraceae Barkm. [sociable on scale bark in the partially shaded midstem and lower canopy of conifers with Pseudevernia furfuracea]	https://lichenportal.org/portal/collections/individual/index.php?occid=3170514
LSU	B. Ryan	Washington	Pierce	126.28	outside_boundary_exact	Washington, Snohomish County	48.291667,-121.416667	LSU00128233	Mt. Baker-Snoqualmie National Forest, along Road 2600-012, S of Road 26, mile 11-12.	https://lichenportal.org/portal/collections/individual/index.php?occid=1525977
LSU	Jim Riley	Washington	Lewis	14.44	outside_boundary_exact	Washington, Skamania County	46.25843,-121.59122	LSU00128540	Gifford Pinchot N.F., Iron Creek Campground. Gifford Pinchot National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1526273
LSU	Shirley C. Tucker	Washington	Jefferson	4.95	outside_boundary_exact	Washington, Grays Harbor County	47.472914,-123.697617	LSU00144247	East of Lake Quinault.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452313
LSU	Shirley C. Tucker	Washington	Jefferson	4.95	outside_boundary_exact	Washington, Grays Harbor County	47.472914,-123.697617	LSU00143800	Olympic Peninsula. East of Lake Quinault.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452382
LSU	Shirley C. Tucker	Washington	Jefferson	4.95	outside_boundary_exact	Washington, Grays Harbor County	47.472914,-123.697617	LSU00147257	East of Lake Quinault.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470407
LSU	Shirley C. Tucker	Washington	Jefferson	4.95	outside_boundary_exact	Washington, Grays Harbor County	47.472914,-123.697617	LSU00130157	east of Lake Quinault, Jefferson Co., Wash.	https://lichenportal.org/portal/collections/individual/index.php?occid=1527057
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00142941	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1436982
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00142947	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1436983
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00143208	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1441972
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00144999	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1457253
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00146996	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1470155
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00150662	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1480354
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00119285	East of Lake Quinault about 5 miles. Stop 13.	https://lichenportal.org/portal/collections/individual/index.php?occid=1511896
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00119462	East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1512581
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00114782	Stop 13: East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1523822
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00118095	Stop 13: East of Lake Quinault about 5 mi.	https://lichenportal.org/portal/collections/individual/index.php?occid=1524071
LSU	Shirley C. Tucker	Washington	Jefferson	4.84	outside_boundary_exact	Washington, Grays Harbor County	47.473934,-123.75955	LSU00127718	East of Lake Quinault about 5 mi. Stop 13. (Lake Quinault is in Grays Harbor County, 5 miles east of Lake Quinault is Jefferson County, WA).	https://lichenportal.org/portal/collections/individual/index.php?occid=1525416
LSU	Shirley C. Tucker	Washington	Jefferson	4.7	outside_boundary_exact	Washington, Grays Harbor County	47.475294,-123.847658	LSU00142031	Olympic Peninsula. 1 mi. E. of Lake Quinault.	https://lichenportal.org/portal/collections/individual/index.php?occid=1422498
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00140017	Kautz Mudflow area, south side of Mr. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1371748
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00140259	Flat area of Kautz Mud Flow, south base of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1375922
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00141959	Kautz Mud flow area on south side of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1418082
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00143297	Kautz Mud flow area, 22 years after devastation, south flank of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1442006
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00144035	Kautz Mudflow area, south base of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1451969
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00144459	Kautz Mud flow area, 22 years after devastation, south flank of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1452612
LSU	Shirley C. Tucker	Washington	Lewis	1.77	outside_boundary_exact	Washington, Pierce County	46.77129,-121.81735	LSU00144882	Kautz Mud flow area, 22 years after devastation, south flank of Mt. Rainier.	https://lichenportal.org/portal/collections/individual/index.php?occid=1457108
