institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MAINE	J. W. Hinds	Florida	LAKE	45.67	outside_boundary_exact	Florida, Hernando County	28.559,-82.42	MAINE-L-0001052	CLERMONT	https://lichenportal.org/portal/collections/individual/index.php?occid=1781365
MAINE	J. W. Hinds	Florida	LAKE	45.67	outside_boundary_exact	Florida, Hernando County	28.559,-82.42	MAINE-L-0001269	CLERMONT	https://lichenportal.org/portal/collections/individual/index.php?occid=1781582
MAINE	J. W. Hinds	Florida	LAKE	45.67	outside_boundary_exact	Florida, Hernando County	28.559,-82.42	MAINE-L-0001270	CLERMONT	https://lichenportal.org/portal/collections/individual/index.php?occid=1781583
MAINE	J. W. Hinds	Florida	LAKE	45.67	outside_boundary_exact	Florida, Hernando County	28.559,-82.42	MAINE-L-0001441	CLERMONT	https://lichenportal.org/portal/collections/individual/index.php?occid=1781754
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001207	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781520
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001208	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781521
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001308	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781621
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001429	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781742
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001514	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781827
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001515	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1781828
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0001990	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1782303
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0002535	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1782848
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0003788	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1784101
MAINE	P. L. Hinds or J. W. Hinds	Florida	MARION	2.33	outside_boundary_exact	Florida, Lake County	29.167,-81.617	MAINE-L-0004573	OCALA NATIONAL FOREST, ALONG HWY 40, AROUND 2 MILES EAST OF HWY 19; OPEN OAK SCRUB	https://lichenportal.org/portal/collections/individual/index.php?occid=1784886
MAINE	James W. Hinds	Florida	ORANGE	2.25	outside_boundary_exact	Florida, Lake County	28.806,-81.458	MAINE-L-0001131	Rock Springs Run State Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1781444
MAINE	James W. Hinds	Florida	ORANGE	2.25	outside_boundary_exact	Florida, Lake County	28.806,-81.458	MAINE-L-0001437	Rock Springs Run State Preserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1781750
