institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MAINE	Scott LaGreca	Massachusetts	HAMPSHIRE	73.9	outside_boundary_exact	New York, Albany County	42.49,-73.96	MAINE-L-0001658	COMMINGTON. Near edge of Westfield River	https://lichenportal.org/portal/collections/individual/index.php?occid=1781971
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0000843	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781156
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0000871	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781184
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0000986	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781299
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0000994	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781307
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0001410	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781723
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0001411	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781724
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0001412	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781725
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0001413	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781726
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0001496	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781809
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0003395	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1783708
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0003396	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1783709
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004222	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1784535
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004589	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1784902
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004632	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784945
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004670	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784983
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004671	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784984
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004698	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785011
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004743	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785056
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004762	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785075
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004763	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785076
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0004795	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1785108
MAINE	J. W. Hinds	Massachusetts	PLYMOUTH	0.9	outside_boundary_exact	not_found_in_US	41.84,-70.49	MAINE-L-0005016	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1785329
