occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1971842	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	75.82	outside_boundary_exact	MAINE-L-0005452	44.44,-71.48	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1971842
2693391	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	75.82	outside_boundary_exact	MAINE-L-0008695	44.44,-71.48	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693391
2693425	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	75.82	outside_boundary_exact	MAINE-L-0008729	44.44,-71.48	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693425
1974079	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0007736	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1974079
2693267	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0008571	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693267
2693268	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0008572	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693268
2693315	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0008619	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693315
2693321	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0008625	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693321
2693528	MAINE	J. Blake	NEW HAMPSHIRE	BELKNAP	1.09	outside_boundary_exact	MAINE-L-0008832	43.42,-71.51	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693528
1973225	MAINE	E. C. Ogden & I. W. Black	NEW HAMPSHIRE	CUMBERLAND	NA	county_not_matched_no_match	MAINE-L-0006882	44.388,-71.173	county_not_matched	Gorham	https://lichenportal.org/portal/collections/individual/index.php?occid=1973225
1974104	MAINE	L. A. Crocker	NEW HAMPSHIRE	BARNSTABLE	NA	county_not_matched_no_match	MAINE-L-0007761	41.76,-70.083	county_not_matched	Brewster	https://lichenportal.org/portal/collections/individual/index.php?occid=1974104
