id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1972034	MAINE	MAINE-L-0005644	Clara E. Cummings	s.n.	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1972034
1972571	MAINE	MAINE-L-0006228	Clara E. Cummings	s.n.	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1972571
1972684	MAINE	MAINE-L-0006341	Clara E. Cummings	s.n.	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1972684
1972988	MAINE	MAINE-L-0006645	Clara E. Cummings	12	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1972988
1973128	MAINE	MAINE-L-0006785	Clara E. Cummings	20	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1973128
1973263	MAINE	MAINE-L-0006920	Clara E. Cummings	14	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1973263
1973337	MAINE	MAINE-L-0006994	Clara E. Cummings	7	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1973337
1973384	MAINE	MAINE-L-0007041	Clara E. Cummings	6	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1973384
1973388	MAINE	MAINE-L-0007045	Clara E. Cummings	18	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1973388
1974249	MAINE	MAINE-L-0007907	Clara E. Cummings	10	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1974249
1974302	MAINE	MAINE-L-0007960	NA	NA	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1974302
1974304	MAINE	MAINE-L-0007962	NA	NA	159.13	MASSACHUSETTS	ESSEX	42.658	-68.55	outside_boundary_exact	not_found_in_US	Annisquam	https://lichenportal.org/portal/collections/individual/index.php?occid=1974304
2692849	MAINE	MAINE-L-0008153	Edward Tuckerman	s.n.	92.16	MASSACHUSETTS	HAMPSHIRE	41.367	-72.517	outside_boundary_exact	Connecticut, Middlesex County	Amherst	https://lichenportal.org/portal/collections/individual/index.php?occid=2692849
1781971	MAINE	MAINE-L-0001658	Scott LaGreca	5566	73.9	Massachusetts	HAMPSHIRE	42.49	-73.96	outside_boundary_exact	New York, Albany County	COMMINGTON. Near edge of Westfield River	https://lichenportal.org/portal/collections/individual/index.php?occid=1781971
1972838	MAINE	MAINE-L-0006495	Clara E. Cummings	s.n.	28.33	MASSACHUSETTS	ESSEX	42.131	-70.917	outside_boundary_exact	Massachusetts, Plymouth County	Rockport	https://lichenportal.org/portal/collections/individual/index.php?occid=1972838
1972962	MAINE	MAINE-L-0006619	Clara E. Cummings	351	28.33	MASSACHUSETTS	ESSEX	42.131	-70.917	outside_boundary_exact	Massachusetts, Plymouth County	Rockport	https://lichenportal.org/portal/collections/individual/index.php?occid=1972962
1974310	MAINE	MAINE-L-0007968	Charles L. Curtis	21452	28.33	MASSACHUSETTS	ESSEX	42.131	-70.917	outside_boundary_exact	Massachusetts, Plymouth County	Rockport	https://lichenportal.org/portal/collections/individual/index.php?occid=1974310
1781156	MAINE	MAINE-L-0000843	J. W. Hinds	5574.74	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781156
1781184	MAINE	MAINE-L-0000871	J. W. Hinds	5574.4	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781184
1781299	MAINE	MAINE-L-0000986	J. W. Hinds	5574.75	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781299
1781307	MAINE	MAINE-L-0000994	J. W. Hinds	5574.2	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781307
1781723	MAINE	MAINE-L-0001410	J. W. Hinds	5574.3	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781723
1781724	MAINE	MAINE-L-0001411	J. W. Hinds	5574.7	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781724
1781725	MAINE	MAINE-L-0001412	J. W. Hinds	5574.72	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781725
1781726	MAINE	MAINE-L-0001413	J. W. Hinds	5574.73	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781726
1781809	MAINE	MAINE-L-0001496	J. W. Hinds	5574.6	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1781809
1783708	MAINE	MAINE-L-0003395	J. W. Hinds	5574.5	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1783708
1783709	MAINE	MAINE-L-0003396	J. W. Hinds	5574.71	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1783709
1784535	MAINE	MAINE-L-0004222	J. W. Hinds	5572	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1784535
1784902	MAINE	MAINE-L-0004589	J. W. Hinds	5573	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1784902
1784945	MAINE	MAINE-L-0004632	J. W. Hinds	5579	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784945
1784983	MAINE	MAINE-L-0004670	J. W. Hinds	5578.1	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784983
1784984	MAINE	MAINE-L-0004671	J. W. Hinds	5578.2	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, open area next to road and power line	https://lichenportal.org/portal/collections/individual/index.php?occid=1784984
1785011	MAINE	MAINE-L-0004698	J. W. Hinds	5568	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785011
1785056	MAINE	MAINE-L-0004743	J. W. Hinds	5571	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785056
1785075	MAINE	MAINE-L-0004762	J. W. Hinds	5569	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785075
1785076	MAINE	MAINE-L-0004763	J. W. Hinds	5570	0.9	Massachusetts	PLYMOUTH	41.84	-70.49	outside_boundary_exact	not_found_in_US	Myles Standish State Forest, hardwood forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1785076
