id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1971842	MAINE	MAINE-L-0005452	J. Blake	s.n.	75.82	130.31	NEW HAMPSHIRE	BELKNAP	44.44	-71.48	outside_boundary_exact	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1971842
2693391	MAINE	MAINE-L-0008695	J. Blake	s.n.	75.82	130.31	NEW HAMPSHIRE	BELKNAP	44.44	-71.48	outside_boundary_exact	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693391
2693425	MAINE	MAINE-L-0008729	J. Blake	s.n.	75.82	130.31	NEW HAMPSHIRE	BELKNAP	44.44	-71.48	outside_boundary_exact	New Hampshire, Coos County	Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693425
1974079	MAINE	MAINE-L-0007736	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=1974079
2693267	MAINE	MAINE-L-0008571	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693267
2693268	MAINE	MAINE-L-0008572	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693268
2693315	MAINE	MAINE-L-0008619	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693315
2693321	MAINE	MAINE-L-0008625	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693321
2693528	MAINE	MAINE-L-0008832	J. Blake	s.n.	1.09	38.09	NEW HAMPSHIRE	BELKNAP	43.42	-71.51	outside_boundary_exact	New Hampshire, Merrimack County	Porcupine Ledge. Belmont	https://lichenportal.org/portal/collections/individual/index.php?occid=2693528
1973225	MAINE	MAINE-L-0006882	E. C. Ogden & I. W. Black	s.n.	NA	NA	NEW HAMPSHIRE	CUMBERLAND	44.388	-71.173	county_not_matched_no_match	county_not_matched	Gorham	https://lichenportal.org/portal/collections/individual/index.php?occid=1973225
1974104	MAINE	MAINE-L-0007761	L. A. Crocker	182	NA	NA	NEW HAMPSHIRE	BARNSTABLE	41.76	-70.083	county_not_matched_no_match	county_not_matched	Brewster	https://lichenportal.org/portal/collections/individual/index.php?occid=1974104
