institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Rosentreter; Sarah Jovan, Peter Neitlich, Peter Nelson, Bruce McCune	Alaska	Fairbanks north star	31.47	outside_boundary_exact	Alaska, Yukon-Koyukuk County	65.4867,-145.4153	971703	Waypoint #302, along Street Highway, north and west of parking area	https://lichenportal.org/portal/collections/individual/index.php?occid=5639186
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.54,178.98	808962	Amchitka Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381285
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	808977	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381300
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	808981	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381304
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.779263,-176.677763	808982	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381305
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	61.46164,-149.3627	810138	Attu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381695
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.849843,173.199052	810161	Attu Island, Massacre Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381718
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.826667,173.22	810162	Attu Island, Massacre Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381719
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.044193,-176.098472	810173	Great Sitka Island, Sand Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381730
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.001907,-176.09383	810175	Great Sitka Island, Sand Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381732
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.044193,-176.098472	810185	Great Sitka Island, Sand Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381742
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	56.482993,-134.981703	810186	Great Sitka Island, Sand Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=381743
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.874891,-176.635202	810189	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381746
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	810197	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381754
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.87,-176.67	810199	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381756
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	810205	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381762
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	65.758074,-153.874023	810207	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=381764
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	57.457359,-153.460818	811459	Kodiak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382405
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	57.396111,-153.483333	811464	Kodiak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382410
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.874891,-176.635202	811493	Attu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382439
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.895452,172.900574	811494	Attu Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382440
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.829053,173.183779	811500	Attu Island, Massacre Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=382446
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.826667,173.22	811505	Attu Island, Massacre Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=382451
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.826667,173.22	811509	Attu Island, Massacre Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=382455
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	56.482993,-134.981703	811530	Great Sitka Island, Sand Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=382476
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.779263,-176.677763	811534	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382480
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	811535	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382481
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	811542	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382488
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.779263,-176.677763	811544	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382490
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.779263,-176.677763	811545	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382491
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8304,-176.6857	811547	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382493
MIN	Llano, G.	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.85953,-176.66016	811558	Adak Island	https://lichenportal.org/portal/collections/individual/index.php?occid=382504
MIN	Talbot, S.S.; Schofield	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	51.8278,-176.6656	917988	Adak Island, Mt. E of Lake De Marie	https://lichenportal.org/portal/collections/individual/index.php?occid=933342
MIN	George Llano	Alaska	Aleutian Islands	NA	county_not_matched_no_match	county_not_matched	52.000556,-176.115278	957987	Great Sitka Island, Sand Bay, Great Sitka Hills	https://lichenportal.org/portal/collections/individual/index.php?occid=3512358
