institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Spjut, R.	California	Siskiyou	10736.72	outside_boundary_exact	not_found_in_US	11,-12	882279	Between Sawyers Bar & Forks; Klamath National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=417004
MIN	Wetmore, Clifford M.	California	Santa barbara	8643.96	outside_boundary_exact	not_found_in_US	33.970833,-20.2	953074	Santa Rosa Isl. West of Bee Canyon. Point and ridgetop and lowland near ocean	https://lichenportal.org/portal/collections/individual/index.php?occid=3182342
MIN	Ryan, B.	California	Inyo	6160.36	outside_boundary_exact	not_found_in_US	37.43333333,-44.5	893643	Sierra Nevada Mountains, 15 km S of Toms Place	https://lichenportal.org/portal/collections/individual/index.php?occid=426456
MIN	Ryan, B.	California	Inyo	6160.36	outside_boundary_exact	not_found_in_US	37.43333333,-44.5	893644	Sierra Nevada Mountains, 15 km S of Toms Place	https://lichenportal.org/portal/collections/individual/index.php?occid=426457
MIN	Ryan, B.	California	Inyo	6160.36	outside_boundary_exact	not_found_in_US	37.43333333,-44.5	893645	Sierra Nevada Mountains, 15 km S of Toms Place	https://lichenportal.org/portal/collections/individual/index.php?occid=426458
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891410	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424483
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891411	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424484
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891412	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424485
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891413	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424486
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891414	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424487
MIN	Tucker, S.	California	Santa Barbara	4550.51	outside_boundary_exact	not_found_in_US	38.45,-172.6005556	891415	Lotusland Estate Montecito	https://lichenportal.org/portal/collections/individual/index.php?occid=424488
MIN	Wetmore, Clifford M.	California	Santa barbara	3486.82	outside_boundary_exact	not_found_in_US	0.25,-120.233333	953072	Santa Rosa Isl. Sandy Point on west end of island. On gentle hills with caliche rock, grassland, and some shrubs	https://lichenportal.org/portal/collections/individual/index.php?occid=3182344
MIN	Wetmore, Clifford M.	California	Los angeles	1237.96	outside_boundary_exact	not_found_in_US	21.5,-118.366667	953069	Santa Catalina Isl. Above Gallagher Beach near Timms, 1 km SE of junction of the roads to the airport and Little Harbor (Middle Canyon Road). On northeast facing hillside in oaks	https://lichenportal.org/portal/collections/individual/index.php?occid=3182347
MIN	Schmidt, E.	California	Butte	968.58	outside_boundary_exact	not_found_in_US	31.55,-116.7	856305	3.5 Mi E of Honcut, Laprote Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=399426
MIN	Schmidt, E.	California	Butte	968.58	outside_boundary_exact	not_found_in_US	31.55,-116.7	856306	3.5 Mi E of Honcut, Laprote Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=399427
MIN	Wetmore, Clifford M.	California	Los angeles	692.75	outside_boundary_exact	not_found_in_US	26.5,-118.483333	953066	Santa Catalina Isl. Above Fishermans Cove and USC marine station. On north facing hillside above a gully with rock outcrops and some trees	https://lichenportal.org/portal/collections/individual/index.php?occid=3182350
MIN	Wetmore, Clifford M.	California	Los angeles	610.22	outside_boundary_exact	not_found_in_US	27.25,-118.516667	953068	Santa Catalina Isl. Small valley halfway between Sullivans Beach and Cherry Valley, west of Two Harbors. In steep gully with some rocks and trees	https://lichenportal.org/portal/collections/individual/index.php?occid=3182348
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854536	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399017
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854538	Santa Barbara Botanical Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399019
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854539	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399020
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854540	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399021
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854541	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399022
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854542	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399023
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854543	Lotusland Botanic Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399024
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854544	Santa Barbara Botanical Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399025
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854545	Santa Barbara Botanical Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399026
MIN	Tucker, S.	California	Santa Barbara	409.22	outside_boundary_exact	California, El Dorado County	38.76666667,-120.1833333	854546	Santa Barbara Botanical Garden	https://lichenportal.org/portal/collections/individual/index.php?occid=399027
MIN	Nash, T.	California	Santa Barbara	395.02	outside_boundary_exact	not_found_in_US	30.02777778,-120.3211111	869204	San Miguel Island, Se of Willow Canyon; Channel Islands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=407290
