institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Rosentreter, R.	Idaho	Shoshone	405.66	outside_boundary_exact	Idaho, Owyhee County	43.31666667,-116.9833333	893872	Near Murray	https://lichenportal.org/portal/collections/individual/index.php?occid=426685
MIN	Rosentreter, R.	Idaho	Shoshone	405.66	outside_boundary_exact	Idaho, Owyhee County	43.31666667,-116.9833333	893873	Near Murray	https://lichenportal.org/portal/collections/individual/index.php?occid=426686
MIN	Gusick, K.	Idaho	Boise	187.75	outside_boundary_exact	Idaho, Idaho County	45.94166667,-116.1416667	847035	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=396939
MIN	Rosentreter, R.	Idaho	Idaho	186.26	outside_boundary_exact	Idaho, Bonner County	48.09,-116.32	863275	Talus Slope Facing N	https://lichenportal.org/portal/collections/individual/index.php?occid=403662
MIN	Rosentreter, R.	Idaho	Blaine	171.49	outside_boundary_exact	Idaho, Owyhee County	43.28333333,-116.9666667	809965	Mcbridge Creek, Sw of Boise	https://lichenportal.org/portal/collections/individual/index.php?occid=381672
MIN	McCune, B.	Idaho	Ada	134.12	outside_boundary_exact	Oregon, Malheur County	43.68333333,-118.1833333	929152	Boise, 5 km Nne of, On Road To Bogus Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=2902274
MIN	McCune, B.	Idaho	Elmore	40.89	outside_boundary_exact	Idaho, Owyhee County	43.16666667,-116.7666667	929154	Mountain Home, 7 km Nw	https://lichenportal.org/portal/collections/individual/index.php?occid=2902276
MIN	McCune, B.	Idaho	Elmore	40.89	outside_boundary_exact	Idaho, Owyhee County	43.16666667,-116.7666667	929156	Mountain Home, 7 km Nw	https://lichenportal.org/portal/collections/individual/index.php?occid=2902278
MIN	Eyerdam, W.	Idaho	Idaho	17.72	outside_boundary_exact	Idaho, Valley County	44.95417,-116.08417	537295	Payette Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=303407
MIN	Rosentreter, R.	Idaho	Owyhee	13.04	outside_boundary_exact	Idaho, Ada County	43.27222222,-116.2222222	918407	Indian Bathtub, Near Bruneau	https://lichenportal.org/portal/collections/individual/index.php?occid=933436
MIN	Rosentreter, R.	Idaho	Idaho	7.87	outside_boundary_exact	Idaho, Adams County	45.15,-116.4	847010	30 M S of Riggins	https://lichenportal.org/portal/collections/individual/index.php?occid=396914
MIN	Rosentreter, R.	Idaho	Teton	6.9	outside_boundary_exact	Wyoming, Teton County	43.785499,-110.960498	893875	3 Mi Ne of Driggs	https://lichenportal.org/portal/collections/individual/index.php?occid=426688
MIN	Rosentreter, R.	Idaho	Bingham	5.63	outside_boundary_exact	Idaho, Butte County	43.508949,-112.886397	809973	Nw of Blackfoot	https://lichenportal.org/portal/collections/individual/index.php?occid=381680
MIN	Rosentreter, R.	Idaho	Boundary	4.55	outside_boundary_exact	Idaho, Bonner County	48.80555556,-116.9	870356	Upper Priest Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=408255
MIN	Rosentreter, R.	Idaho	Boundary	4.55	outside_boundary_exact	Idaho, Bonner County	48.80555556,-116.9	870357	Upper Priest Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=408256
MIN	DeBolt	Idaho	Lemhi	3.8	outside_boundary_exact	Idaho, Butte County	44.2,-113	971682	ca. 8km north of Lone Pine, Idaho and west of US Highway 93	https://lichenportal.org/portal/collections/individual/index.php?occid=5639165
MIN	Rosentreter, R.	Idaho	Lewis	3.74	outside_boundary_exact	Idaho, Nez Perce County	46.05,-116.75	891223	40 Mi S of Lewiston	https://lichenportal.org/portal/collections/individual/index.php?occid=424296
MIN	Rosentreter, R.	Idaho	Lewis	3.74	outside_boundary_exact	Idaho, Nez Perce County	46.05,-116.75	903238	Along Eagle Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=431787
MIN	Imshaug, H.	Idaho	Benewah	1.97	outside_boundary_exact	Idaho, Shoshone County	47.300084,-116.303503	838187	Washington State College Ski Slope; Saint Joe National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=393392
MIN	Cooke, W.; Cooke	Idaho	Latah	0.62	outside_boundary_exact	Washington, Whitman County	46.7948,-117.0479	866207	Thatuna Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=404796
MIN	Cooke, W.; Cooke	Idaho	Latah	0.62	outside_boundary_exact	Washington, Whitman County	46.7948,-117.0479	900794	Thatuna Ridge, W End	https://lichenportal.org/portal/collections/individual/index.php?occid=429819
MIN	Cooke, W.; Cooke	Idaho	Latah	0.62	outside_boundary_exact	Washington, Whitman County	46.7948,-117.0479	901279	Thatuna Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=430169
MIN	Rosentreter, R.	Idaho	Valley	0.41	outside_boundary_exact	Idaho, Valley County	44.950001,-116.129997	856359	Brundage Ski Area, W of Mccall	https://lichenportal.org/portal/collections/individual/index.php?occid=399480
MIN	McCune, B.	Idaho	Owyhee	0.05	outside_boundary_exact	Idaho, Canyon County	43.31666667,-116.5833333	858334	12 km Nw of Murphy On Route 78	https://lichenportal.org/portal/collections/individual/index.php?occid=400317
MIN	Cooke, W.; Cooke	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	866596	Clearwater Canyon, Bottom	https://lichenportal.org/portal/collections/individual/index.php?occid=405185
MIN	Cooke, W.; Cooke	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	900138	Clearwater Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=429182
MIN	Cooke, W.; Cooke	Idaho	Nez Perce	0.02	outside_boundary_exact	Idaho, Clearwater County	46.499877,-116.381744	902440	Lenore, 4-8 Mi E of	https://lichenportal.org/portal/collections/individual/index.php?occid=431221
