id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
422846	MIN	889102	McDonald, T.	1101	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422846
422847	MIN	889103	McDonald, T.	1092	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422847
422848	MIN	889104	McDonald, T.	1087	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422848
422849	MIN	889105	McDonald, T.	1086	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422849
422850	MIN	889106	McDonald, T.	1084	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422850
422851	MIN	889107	McDonald, T.	1083	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422851
422852	MIN	889108	McDonald, T.	1082	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422852
422853	MIN	889109	McDonald, T.	1081	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422853
422854	MIN	889110	McDonald, T.	1080	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422854
422856	MIN	889112	McDonald, T.	1073	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422856
422858	MIN	889114	McDonald, T.	1069	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422858
422859	MIN	889115	McDonald, T.	1053	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422859
422860	MIN	889116	McDonald, T.	1052	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422860
422861	MIN	889117	McDonald, T.	1049	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422861
422862	MIN	889118	McDonald, T.	1045	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422862
422863	MIN	889119	McDonald, T.	1043	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422863
427230	MIN	894541	McDonald, T.	1064	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=427230
427231	MIN	894542	McDonald, T.	1056	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=427231
932975	MIN	917463	McDonald, T.R.	1100	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=932975
932977	MIN	917465	McDonald, T.R.	1068	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=932977
932978	MIN	917466	McDonald, T.R.	1059	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=932978
934252	MIN	924626	McDonald, T.	1090	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=934252
2901743	MIN	927298	McDonald, T.	1099	381.91	Tennessee	Cocke	35.65111111	-87.56861111	outside_boundary_exact	Tennessee, Lewis County	Little River Trail At Elkmont Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=2901743
423184	MIN	889440	McDonald, T.	253	16.95	Tennessee	Sevier	35.41194444	-83.47944444	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome Road, Parking Lot; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423184
423185	MIN	889441	McDonald, T.	251	16.95	Tennessee	Sevier	35.41194444	-83.47944444	outside_boundary_exact	North Carolina, Swain County	Clingmans Dome Road, Parking Lot; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=423185
