id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
387493	MIN	823726	Wetmore, C.	72776	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387493
387494	MIN	823727	Wetmore, C.	72775	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387494
387495	MIN	823728	Wetmore, C.	72774	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387495
387496	MIN	823729	Wetmore, C.	72773	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387496
387497	MIN	823730	Wetmore, C.	72772	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387497
387499	MIN	823732	Wetmore, C.	72770	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387499
387500	MIN	823733	Wetmore, C.	72769	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387500
387501	MIN	823734	Wetmore, C.	72768	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387501
387502	MIN	823735	Wetmore, C.	72767	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387502
387503	MIN	823736	Wetmore, C.	72766	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387503
387504	MIN	823737	Wetmore, C.	72765	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387504
387505	MIN	823738	Wetmore, C.	72762	310.81	Vermont	Bennington	46.10083333	-73.00916667	outside_boundary_exact	not_found_in_US	0.5 Mi S of Bourn Pond; Lye Brook Wilderness	https://lichenportal.org/portal/collections/individual/index.php?occid=387505
