institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MIN	Ryan, B.	Wyoming	Johnson	110.79	outside_boundary_exact	Montana, Big Horn County	45.5,-107.8333333	843424	Sw of Buffalo	https://lichenportal.org/portal/collections/individual/index.php?occid=395189
MIN	Ryan, B.	Wyoming	Washakie	78	outside_boundary_exact	Wyoming, Johnson County	44.15833333,-106.15	843414	24 Mi E of Tensleep	https://lichenportal.org/portal/collections/individual/index.php?occid=395179
MIN	Ryan, B.	Wyoming	Washakie	78	outside_boundary_exact	Wyoming, Johnson County	44.15833333,-106.15	843415	24 Mi E of Tensleep	https://lichenportal.org/portal/collections/individual/index.php?occid=395180
MIN	Ryan, B.	Wyoming	Washakie	78	outside_boundary_exact	Wyoming, Johnson County	44.15833333,-106.15	843416	24 Mi E of Tensleep	https://lichenportal.org/portal/collections/individual/index.php?occid=395181
MIN	Ryan, B.	Wyoming	Washakie	78	outside_boundary_exact	Wyoming, Johnson County	44.15833333,-106.15	843417	24 Mi E of Tensleep	https://lichenportal.org/portal/collections/individual/index.php?occid=395182
MIN	Wetmore, C.	Wyoming	Big Horn	31.29	outside_boundary_exact	Wyoming, Sheridan County	44.876629,-107.265849	626549	Big Horn Mountains, Near Dayton	https://lichenportal.org/portal/collections/individual/index.php?occid=306685
MIN	Wetmore, C.	Wyoming	Big Horn	27.07	outside_boundary_exact	Wyoming, Sheridan County	44.840422,-107.288621	810689	Big Horn Mountains, Near Dayton	https://lichenportal.org/portal/collections/individual/index.php?occid=382105
MIN	Wetmore, C.	Wyoming	Big Horn	23.73	outside_boundary_exact	Wyoming, Sheridan County	44.82194444,-107.3230556	625044	Big Horn Mountains, Near Dayton	https://lichenportal.org/portal/collections/individual/index.php?occid=305508
MIN	Wetmore, C.	Wyoming	Big Horn	23.73	outside_boundary_exact	Wyoming, Sheridan County	44.82194444,-107.3230556	625205	Big Horn Mountains, Near Dayton	https://lichenportal.org/portal/collections/individual/index.php?occid=305655
MIN	Wetmore, C.	Wyoming	Big Horn	23.73	outside_boundary_exact	Wyoming, Sheridan County	44.82194444,-107.3230556	625949	Big Horn Mountains, Near Dayton	https://lichenportal.org/portal/collections/individual/index.php?occid=306152
