id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
426685	MIN	893872	Rosentreter, R.	4067	405.66	530.92	Idaho	Shoshone	43.31666667	-116.9833333	outside_boundary_exact	Idaho, Owyhee County	Near Murray	https://lichenportal.org/portal/collections/individual/index.php?occid=426685
426686	MIN	893873	Rosentreter, R.	3608	405.66	530.92	Idaho	Shoshone	43.31666667	-116.9833333	outside_boundary_exact	Idaho, Owyhee County	Near Murray	https://lichenportal.org/portal/collections/individual/index.php?occid=426686
396939	MIN	847035	Gusick, K.	42	187.75	262.58	Idaho	Boise	45.94166667	-116.1416667	outside_boundary_exact	Idaho, Idaho County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=396939
403662	MIN	863275	Rosentreter, R.	2346	186.26	343.91	Idaho	Idaho	48.09	-116.32	outside_boundary_exact	Idaho, Bonner County	Talus Slope Facing N	https://lichenportal.org/portal/collections/individual/index.php?occid=403662
381672	MIN	809965	Rosentreter, R.	6405	171.49	320.67	Idaho	Blaine	43.28333333	-116.9666667	outside_boundary_exact	Idaho, Owyhee County	Mcbridge Creek, Sw of Boise	https://lichenportal.org/portal/collections/individual/index.php?occid=381672
2902274	MIN	929152	McCune, B.	18876	134.12	188.78	Idaho	Ada	43.68333333	-118.1833333	outside_boundary_exact	Oregon, Malheur County	Boise, 5 km Nne of, On Road To Bogus Basin	https://lichenportal.org/portal/collections/individual/index.php?occid=2902274
2902276	MIN	929154	McCune, B.	19060	40.89	168.2	Idaho	Elmore	43.16666667	-116.7666667	outside_boundary_exact	Idaho, Owyhee County	Mountain Home, 7 km Nw	https://lichenportal.org/portal/collections/individual/index.php?occid=2902276
2902278	MIN	929156	McCune, B.	19062	40.89	168.2	Idaho	Elmore	43.16666667	-116.7666667	outside_boundary_exact	Idaho, Owyhee County	Mountain Home, 7 km Nw	https://lichenportal.org/portal/collections/individual/index.php?occid=2902278
303407	MIN	537295	Eyerdam, W.	2079	17.72	233.4	Idaho	Idaho	44.95417	-116.08417	outside_boundary_exact	Idaho, Valley County	Payette Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=303407
933436	MIN	918407	Rosentreter, R.	1046	13.04	172.2	Idaho	Owyhee	43.27222222	-116.2222222	outside_boundary_exact	Idaho, Ada County	Indian Bathtub, Near Bruneau	https://lichenportal.org/portal/collections/individual/index.php?occid=933436
