id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
388504	MIN	825335	Egan, R.	12441A	493.02	North Carolina	Haywood	32	-86.5	outside_boundary_exact	Alabama, Lowndes County	Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=388504
388505	MIN	825336	Egan, R.	12433	493.02	North Carolina	Haywood	32	-86.5	outside_boundary_exact	Alabama, Lowndes County	Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=388505
396455	MIN	846533	Egan, R.	12431B	493.02	North Carolina	Haywood	32	-86.5	outside_boundary_exact	Alabama, Lowndes County	Haywood-Jackson; Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=396455
396456	MIN	846534	Egan, R.	12431A	493.02	North Carolina	Haywood	32	-86.5	outside_boundary_exact	Alabama, Lowndes County	Haywood-Jackson; Richland Balsam Mt.; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=396456
305091	MIN	624617	Harris, R.	3414	179.86	North Carolina	Haywood	36.436499	-81.070565	outside_boundary_exact	North Carolina, Alleghany County	Graveyard Fields; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=305091
305249	MIN	624776	Harris, R.	3410	179.86	North Carolina	Haywood	36.436499	-81.070565	outside_boundary_exact	North Carolina, Alleghany County	Graveyard Fields; Blue Ridge National Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=305249
422939	MIN	889195	McDonald, T.	851	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422939
422940	MIN	889196	McDonald, T.	846	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422940
422941	MIN	889197	McDonald, T.	841	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422941
422942	MIN	889198	McDonald, T.	839	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422942
422943	MIN	889199	McDonald, T.	836	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422943
422944	MIN	889200	McDonald, T.	835	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422944
422945	MIN	889201	McDonald, T.	834	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422945
422946	MIN	889202	McDonald, T.	832	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422946
422948	MIN	889204	McDonald, T.	830	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422948
422949	MIN	889205	McDonald, T.	829	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422949
422950	MIN	889206	McDonald, T.	826	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422950
422951	MIN	889207	McDonald, T.	825	67.54	North Carolina	Haywood	35.75305556	-84.00833333	outside_boundary_exact	Tennessee, Blount County	Big Creek Trail At Big Creek Campground; Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=422951
