id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
308897	MIN	629349	Wetmore, C.	10447	8762.87	8905.62	South Dakota	Meade	22.05	-6	outside_boundary_exact	not_found_in_US	Black Hills, Stagebarn Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=308897
306137	MIN	625923	Wetmore, C.	7257	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306137
306854	MIN	626818	Wetmore, C.	7237A	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306854
306867	MIN	626831	Wetmore, C.	7237A	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=306867
307317	MIN	627315	Wetmore, C.	7207B	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=307317
308794	MIN	629209	Wetmore, C.	7228	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=308794
387232	MIN	823465	Wetmore, C.	7234B	5488.64	5667.8	South Dakota	Pennington	43.86555556	-31.53194444	outside_boundary_exact	not_found_in_US	Black Hills, Harney Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=387232
304851	MIN	624333	Wetmore, C.	8908	85.86	202.76	South Dakota	Pennington	43.08666667	-103.5727778	outside_boundary_exact	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=304851
307055	MIN	627024	Wetmore, C.	8893	85.86	202.76	South Dakota	Pennington	43.08666667	-103.5727778	outside_boundary_exact	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=307055
312304	MIN	652388	Wetmore, C.	8909	85.86	202.76	South Dakota	Pennington	43.08666667	-103.5727778	outside_boundary_exact	South Dakota, Fall River County	Black Hills, Silver City, 0.5 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=312304
306715	MIN	626579	Wetmore, C.	8706	69.19	166.51	South Dakota	Pennington	44.76166667	-103.4886111	outside_boundary_exact	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=306715
307062	MIN	627032	Wetmore, C.	8707	69.19	166.51	South Dakota	Pennington	44.76166667	-103.4886111	outside_boundary_exact	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=307062
308063	MIN	628291	Wetmore, C.	8743	69.19	166.51	South Dakota	Pennington	44.76166667	-103.4886111	outside_boundary_exact	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=308063
308657	MIN	629071	Wetmore, C.	8748	69.19	166.51	South Dakota	Pennington	44.76166667	-103.4886111	outside_boundary_exact	South Dakota, Butte County	Black Hills, Pactola Work Center, 0.9 Mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=308657
3401869	MIN	956512	Wetmore, C.	6638	57.64	173.76	South Dakota	Pennington	43.34	-103.4338889	outside_boundary_exact	South Dakota, Fall River County	Black Hills, Angostura Reservoir, N End above dam on E side of lake	https://lichenportal.org/portal/collections/individual/index.php?occid=3401869
932881	MIN	906762	Advaita, M.K.	4804	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932881
932882	MIN	906763	Advaita, M.K.	4787	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932882
932883	MIN	906764	Advaita, M.K.	4915	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932883
932884	MIN	906765	Advaita, M.K.	5053	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932884
932885	MIN	906766	Advaita, M.K.	5073	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932885
932886	MIN	906767	Advaita, M.K.	5076	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932886
932887	MIN	906768	Advaita, M.K.	5095	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932887
932888	MIN	906769	Advaita, M.K.	5129	44.06	105.4	South Dakota	Grant	45.25138889	-95.89111111	outside_boundary_exact	Minnesota, Swift County	Blue Cloud Benedictine Abbey, E of Marvin	https://lichenportal.org/portal/collections/individual/index.php?occid=932888
416859	MIN	881988	Lendemer, J.	1789	42.01	108.22	South Dakota	Brule	44.21888889	-99.70083333	outside_boundary_exact	South Dakota, Hughes County	North Bend, E Shore Missouri River	https://lichenportal.org/portal/collections/individual/index.php?occid=416859
2904297	MIN	940163	Wetmore, C.	6719	18.7	163.91	South Dakota	Pennington	43.6875	-103.7027778	outside_boundary_exact	South Dakota, Custer County	Black Hills, Fourmile Creek Rd 8 Mi Sw of Custer	https://lichenportal.org/portal/collections/individual/index.php?occid=2904297
310903	MIN	634500	Wetmore, C.	12671	18.44	98.8	South Dakota	Edmunds	45.464698	-98.486483	outside_boundary_exact	South Dakota, Brown County	Aberdeen, W of; Parmley Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=310903
304700	MIN	624181	Wetmore, C.	8943	11.14	67.55	South Dakota	Lawrence	44.04111111	-103.8822222	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Headwater Springs Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=304700
305764	MIN	625544	Wetmore, C.	8939O	11.14	67.55	South Dakota	Lawrence	44.04111111	-103.8822222	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Headwater Springs Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=305764
306542	MIN	626356	Wetmore, C.	8974	11.14	67.55	South Dakota	Lawrence	44.04111111	-103.8822222	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Headwater Springs Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=306542
307430	MIN	627446	Wetmore, C.	8927	11.14	67.55	South Dakota	Lawrence	44.04111111	-103.8822222	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Headwater Springs Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=307430
309077	MIN	629531	Wetmore, C.	8981	11.14	67.55	South Dakota	Lawrence	44.04111111	-103.8822222	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Headwater Springs Campground	https://lichenportal.org/portal/collections/individual/index.php?occid=309077
304943	MIN	624469	Wetmore, C.	9642	0.88	54.18	South Dakota	Lawrence	44.35	-104.0666667	outside_boundary_exact	Wyoming, Crook County	Black Hills, Lone Grave Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=304943
306978	MIN	626946	Wetmore, C.	9644B	0.88	54.18	South Dakota	Lawrence	44.35	-104.0666667	outside_boundary_exact	Wyoming, Crook County	Black Hills, Lone Grave Spring	https://lichenportal.org/portal/collections/individual/index.php?occid=306978
304821	MIN	624303	Wetmore, C.	10056	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=304821
304869	MIN	624351	Wetmore, C.	10041	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=304869
306512	MIN	626326	Wetmore, C.	10109	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=306512
306950	MIN	626918	Wetmore, C.	10043	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=306950
306971	MIN	626939	Wetmore, C.	10066	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=306971
307061	MIN	627031	Wetmore, C.	10042	0.56	68.9	South Dakota	Custer	43.861	-103.5469	outside_boundary_exact	South Dakota, Pennington County	Black Hills, Sylvan Lake To Harney Peak Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=307061
