id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1320432	MONT	MONT-L-0001195	Sam Shushan	sl-1515	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1320432
1367778	MONT	MONT-L-0002213	Sam Shushan	sI-76	0.24	Colorado	Larimer	41	-105.36667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1367778
1367839	MONT	MONT-L-0002274	Sam Shushan	sl--61	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	0.8 km S of Wyoming State Line, just N of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1367839
1367892	MONT	MONT-L-0002327	Sam Shushan	sl-58	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1367892
1437383	MONT	MONT-L-0004502	Sam Shushan	sl-61	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	Just N of Virginia Dale, c. 0.8 km S of Wyoming state line	https://lichenportal.org/portal/collections/individual/index.php?occid=1437383
1437561	MONT	MONT-L-0004680	Sam Shushan	sI-80	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1437561
1461236	MONT	MONT-L-0006676	Sam Shushan	sl- 67	0.24	Colorado	Larimer	41	-105.3666667	outside_boundary_exact	Wyoming, Albany County	0.8 kilometers south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1461236
1466629	MONT	MONT-L-0007321	Sam Shushan	s1-87	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1466629
1466702	MONT	MONT-L-0007394	Sam Shushan	sl-60	0.24	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	about 0.8 kilometers south of Wyoming State line; north of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1466702
1467416	MONT	MONT-L-0008301	S. Shushan	sl 66 B	0.24	Colorado	Larimer	41	-105.36666666667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1467416
1370320	MONT	MONT-L-0002415	S. Shushan	sl 1573	NA	Colorado	Summit-Clear Creek	39.65	-105.85	county_not_matched_no_match	county_not_matched	northeast of Loveland Pass; 33 km west southwest of Idaho Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1370320
