occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
275475	MSC	Nash III, T. H	North Carolina	Watauga	3050.21	outside_boundary_exact	MSC0079985	26.8983307,-112.4353027	not_found_in_US	East ridge crest of The Guadalupe Mtns., along secondary road between Mision Guadalupe and San Juan de La Pila	https://lichenportal.org/portal/collections/individual/index.php?occid=275475
199630	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0137349	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=199630
235583	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0041768	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=235583
239789	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0045596	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=239789
241393	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0047068	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=241393
246022	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0051825	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=246022
250635	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0056063	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=250635
251531	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0056871	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=251531
254261	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0059942	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=254261
254874	MSC	Harris, Richard C	North Carolina	Haywood	179.86	outside_boundary_exact	MSC0060501	36.436499,-81.070565	North Carolina, Alleghany County	Blue Ridge Parkway lookout at Graveyard Fields	https://lichenportal.org/portal/collections/individual/index.php?occid=254874
