institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.562872,-83.498496	MSC0052904	Tennessee_North Carolina; Summit of C ingman's Dome, border of Sevier County (Tenn.) and Swain County (North Carolina)	https://lichenportal.org/portal/collections/individual/index.php?occid=247201
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.562872,-83.498496	MSC0052905	Summit of Clingman's Dome, border of Sevier County (Tenn.) and Swain County (North Carolina)	https://lichenportal.org/portal/collections/individual/index.php?occid=247202
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.562872,-83.498496	MSC0054608	Top of fir tree around summit of Clingman's Dome border of Sevier County (ENN.) and Swain County (N. CAROL.)	https://lichenportal.org/portal/collections/individual/index.php?occid=249064
MSC	Imshaug, Henry A	Tennessee	Carter/Mitchell	NA	county_not_matched_no_match	lookup_error	36.19623,-82.0704	MSC0054609	Tennessee-North Carolina; Around summit of Roan Mt. border of CARTER COUNTY (TENN.) and (MITCHELL COUNTY (N.CAROL.)	https://lichenportal.org/portal/collections/individual/index.php?occid=249065
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.784658,-83.524192	MSC0054610	Tennessee-North Carolina; Border of SEVIER COUNTY (TENN.) and SWAIN COUNTY (N. CAROL.)	https://lichenportal.org/portal/collections/individual/index.php?occid=249067
MSC	Imshaug, Henry A	Tennessee	Carter/Mitchell	NA	county_not_matched_no_match	lookup_error	36.19623,-82.0704	MSC0065994	Tennesee-North Carolina; Near summit of Roan Mt., near Rhododnedron Gardens	https://lichenportal.org/portal/collections/individual/index.php?occid=260005
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.611206,-83.424881	MSC0065996	At Newfound Gap, border of Sevier and Swain County	https://lichenportal.org/portal/collections/individual/index.php?occid=260007
MSC	Imshaug, Henry A	Tennessee	Carter/Mitchell	NA	county_not_matched_no_match	lookup_error	36.100426,-82.134514	MSC0073457	Near Rhododendron Gardens around summit of Roan Mt., border of Carter County (Tenn.) and Mitchell County (N. Carol)	https://lichenportal.org/portal/collections/individual/index.php?occid=268267
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.562872,-83.498496	MSC0073458	At summit of Clingman's Dome, border of Sevier County (Tenn.) and Swain County (N. Carol.)	https://lichenportal.org/portal/collections/individual/index.php?occid=268268
MSC	Imshaug, Henry A	Tennessee	Carter/Mitchell	NA	county_not_matched_no_match	lookup_error	36.19623,-82.0704	MSC0074678	Tennesee-North Carolina; Near summit of Roan Mountain, border of Carter County (Tenn.) and Mitchell County (N. Carol)	https://lichenportal.org/portal/collections/individual/index.php?occid=269613
MSC	Imshaug, Henry A	Tennessee	Carter/Mitchell	NA	county_not_matched_no_match	lookup_error	36.19623,-82.0704	MSC0076844	Around summit of Roan Mt. (ca. 6000 ft.), border of Carter County (TENN.) and Mitchell County (N. CAROL)	https://lichenportal.org/portal/collections/individual/index.php?occid=272006
MSC	Imshaug, Henry A	Tennessee	Sevier/Swain	NA	county_not_matched_no_match	lookup_error	35.611206,-83.424881	MSC0081184	At Newfound Gap, border of Sevier County and Swain County	https://lichenportal.org/portal/collections/individual/index.php?occid=276786
