id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
264173	MSC	MSC0069758	Imshaug, Henry A	27912	1565.76	Iowa	Allamakee	29.151058	-89.253384	outside_boundary_exact	Louisiana, Plaquemines County	Iffigy Mounds National Monument., along Mississippi River.	https://lichenportal.org/portal/collections/individual/index.php?occid=264173
277962	MSC	MSC0082245	Imshaug, Henry A	27907	1565.76	Iowa	Allamakee	29.151058	-89.253384	outside_boundary_exact	Louisiana, Plaquemines County	Effigy Mound National Mounument, bluffs along Mississippi River	https://lichenportal.org/portal/collections/individual/index.php?occid=277962
256759	MSC	MSC0063063	Brodo, Irwin M	9664	1138.78	Iowa	Jackson	44.2666664	-76.3833313	outside_boundary_exact	not_found_in_US	Ontario; At Eastview Park (UTM 895013)	https://lichenportal.org/portal/collections/individual/index.php?occid=256759
268103	MSC	MSC0073307	Imshaug, Henry A	24247	929.38	Iowa	Clayton	49.355	-99.59	outside_boundary_exact	not_found_in_US	Ontario; At Balmy Beach (Roydon Park), Owen sound	https://lichenportal.org/portal/collections/individual/index.php?occid=268103
268104	MSC	MSC0073308	Imshaug, Henry A	25516	689.04	Iowa	Clayton	41.966667	-82.533333	outside_boundary_exact	not_found_in_US	Ontario; Along north shore of Lake Erie, near Leaminton, Point Pelee National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=268104
207308	MSC	NA	Imshaug, Henry A	27987	416.79	Iowa	Jackson	41.741933	-95.941677	outside_boundary_exact	Iowa, Harrison County	Echo	https://lichenportal.org/portal/collections/individual/index.php?occid=207308
178432	MSC	MSC0100786	Imshaug, Henry A	28054	287.28	Iowa	Clayon	42.644431	-91.401252	outside_boundary_reverse_partial	Iowa, Delaware County	Clayton county: Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=178432
263945	MSC	MSC0069552	Imshaug, Henry A	19194	204.86	Iowa	Iowa	43.149159	-90.045957	outside_boundary_exact	Wisconsin, Iowa County	Wisconsin; Tower Hills State Park, SE of Spring Green	https://lichenportal.org/portal/collections/individual/index.php?occid=263945
266204	MSC	MSC0071592	Wetmore, Clifford M	12564	108.2	Iowa	Butler	42.038315	-94.142182	outside_boundary_exact	Iowa, Boone County	Beaver Meadow State Park on Iowa 14 N of Parkersberg	https://lichenportal.org/portal/collections/individual/index.php?occid=266204
246884	MSC	MSC0052616	Wetmore, Clifford M	13691	1.98	Iowa	Clayton	42.957481	-91.630706	outside_boundary_exact	Iowa, Fayette County	Four miles NE of Elgin	https://lichenportal.org/portal/collections/individual/index.php?occid=246884
262012	MSC	MSC0067805	Wetmore, Clifford M	13678	1.98	Iowa	Clayton	42.957481	-91.630706	outside_boundary_exact	Iowa, Fayette County	Four miles NE of Elgin.  Along valley with stream and ridges with hickory and oak.	https://lichenportal.org/portal/collections/individual/index.php?occid=262012
279942	MSC	MSC0084349	Wetmore, Clifford M	NA	1.98	Iowa	Clayton	42.957481	-91.630706	outside_boundary_exact	Iowa, Fayette County	Four miles NE of Elgin	https://lichenportal.org/portal/collections/individual/index.php?occid=279942
178428	MSC	MSC0100782	Imshaug, Henry A	28015	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Clayton county: Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=178428
178430	MSC	MSC0100784	Imshaug, Henry A	28053	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Clayton county: Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=178430
178431	MSC	MSC0100785	Imshaug, Henry A	28016	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Clayton county: Bixby, N of edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=178431
187445	MSC	MSC0114785	Imshaug, Henry A	28051	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=187445
192422	MSC	MSC0124237	Imshaug, Henry A	28030	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=192422
192427	MSC	MSC0124241	Imshaug, Henry A	28030	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=192427
239511	MSC	MSC0045342	Imshaug, Henry A	28021	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=239511
239907	MSC	MSC0045702	Imshaug, Henry A	28044	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=239907
240145	MSC	MSC0045917	Imshaug, Henry A	28024	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=240145
243288	MSC	MSC0048791	Imshaug, Henry A	28025	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=243288
243455	MSC	MSC0048941	Imshaug, Henry A	28035	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=243455
246183	MSC	MSC0051970	Imshaug, Henry A	28049	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=246183
246187	MSC	MSC0051974	Imshaug, Henry A	28026	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=246187
246885	MSC	MSC0052617	Imshaug, Henry A	28038	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=246885
250108	MSC	MSC0055587	Imshaug, Henry A	28040	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=250108
250893	MSC	MSC0056296	Imshaug, Henry A	28039	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=250893
251129	MSC	MSC0056509	Imshaug, Henry A	28042	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=251129
251132	MSC	MSC0056511	Imshaug, Henry A	28056	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=251132
253312	MSC	MSC0059077	Imshaug, Henry A	28048	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=253312
253314	MSC	MSC0059079	Imshaug, Henry A	28045	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=253314
253596	MSC	MSC0059336	Imshaug, Henry A	28032	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=253596
253807	MSC	MSC0059529	Imshaug, Henry A	28013	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=253807
254394	MSC	MSC0060060	Imshaug, Henry A	28057	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, north of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=254394
257779	MSC	MSC0063987	Imshaug, Henry A	28022	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgewood	https://lichenportal.org/portal/collections/individual/index.php?occid=257779
259666	MSC	MSC0065688	Imshaug, Henry A	28031	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Bixby, N of Edgwood	https://lichenportal.org/portal/collections/individual/index.php?occid=259666
262425	MSC	MSC0068178	Imshaug, Henry A	28018	0	Iowa	Clayton	42.644431	-91.401252	outside_boundary_exact	Iowa, Delaware County	Clayton Co.: Bixby, N of Edgewood.	https://lichenportal.org/portal/collections/individual/index.php?occid=262425
