id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
231406	MSC	MSC0037997	Harris, R.	3848	9557.91	9611.85	Michigan	Lake	44.146536	44.146536	outside_boundary_exact	not_found_in_US	Bear Track U.S. Forest campground west of Irons	https://lichenportal.org/portal/collections/individual/index.php?occid=231406
234263	MSC	MSC0040573	Imshaug, Henry A	4048	1974.85	2089.61	Michigan	Chippewa	51.67333	-58.11167	outside_boundary_exact	not_found_in_US	Shore of Lake Huron, W of Detour	https://lichenportal.org/portal/collections/individual/index.php?occid=234263
238972	MSC	MSC0044852	Imshaug, Henry A	4048	1974.85	2089.61	Michigan	Chippewa	51.67333	-58.11167	outside_boundary_exact	not_found_in_US	Shore of Lake Huron, west of Detour	https://lichenportal.org/portal/collections/individual/index.php?occid=238972
234262	MSC	MSC0040572	Imshaug, Henry A	3987	1922.52	2036.81	Michigan	Chippewa	51.69237	-58.8681	outside_boundary_exact	not_found_in_US	Shore of Lake Huron W of Detour	https://lichenportal.org/portal/collections/individual/index.php?occid=234262
216035	MSC	MSC0023204	Harris, Richard C	9390	696.63	738.59	Michigan	Dickinson	45.2000008	-78.75	outside_boundary_exact	not_found_in_US	W of Hebron Mail Rd.	https://lichenportal.org/portal/collections/individual/index.php?occid=216035
225849	MSC	MSC0032977	Imshaug, Henry A	29247	652.56	704.15	Michigan	Eaton	48.087737	-88.620168	outside_boundary_exact	Michigan, Keweenaw County	Around Forbes Lake, along edge of swamp at E end of Forbes Lake and along SE shoreline and on ridge just SE of	https://lichenportal.org/portal/collections/individual/index.php?occid=225849
231612	MSC	MSC0038181	Engel, John J	1005	651.86	825.88	Michigan	Keweenaw	42.090598	-83.144091	outside_boundary_exact	Michigan, Wayne County	Sugar Island, in dense shade	https://lichenportal.org/portal/collections/individual/index.php?occid=231612
225854	MSC	MSC0032981	Imshaug, Henry A	20907	603.84	674.4	Michigan	Allegan	48.087737	-88.620168	outside_boundary_exact	Michigan, Keweenaw County	North of Denningville; Around Forbes Lake, along edge of swamp at E end of Forbes Lake and along SE shoreline	https://lichenportal.org/portal/collections/individual/index.php?occid=225854
277321	MSC	MSC0081669	Imshaug, Henry A	19811	583.4	770.57	Michigan	Keweenaw	43.115028	-82.490198	outside_boundary_exact	Michigan, St. Clair County	Near Lakeport.	https://lichenportal.org/portal/collections/individual/index.php?occid=277321
229915	MSC	MSC0036653	Darlington, H. T	NA	560.84	615.51	Michigan	Clinton	46.766614	-89.75016	outside_boundary_exact	Michigan, Ontonagon County	Porcupine Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=229915
231189	MSC	MSC0037800	Byer, M	NA	495.68	549.71	Michigan	Roscommon	48.137375	-88.608404	outside_boundary_exact	Michigan, Keweenaw County	Back from from shore on main island across from Clay Island in bay south of Robinson Bay, Isle Royale National	https://lichenportal.org/portal/collections/individual/index.php?occid=231189
236578	MSC	MSC0042679	Wang, S. C	651	490.16	544.2	Michigan	Roscommon	48.096266	-88.566461	outside_boundary_exact	Michigan, Keweenaw County	Cement foundation below light on SW point, along southwest shore of West Caribou Island, Isle Royale National	https://lichenportal.org/portal/collections/individual/index.php?occid=236578
245144	MSC	MSC0051034	Wetmore, Clifford M	171	458.49	512.49	Michigan	Crawford	48.078489	-88.585073	outside_boundary_exact	Michigan, Keweenaw County	Isle Royale National Park: on jackpine point, about halfway down bay on N side between Conglomerate Bay and To	https://lichenportal.org/portal/collections/individual/index.php?occid=245144
230003	MSC	MSC0036732	Darlington, H. T	86	454.07	542.43	Michigan	Ottawa	46.742356	-89.756439	outside_boundary_exact	Michigan, Ontonagon County	Porcupine Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=230003
237915	MSC	MSC0043891	Imshaug, Henry A	25451	443.43	498.02	Michigan	Ogemaw	47.284697	-88.473598	outside_boundary_exact	Michigan, Houghton County	Along Lake Superior near Calumet	https://lichenportal.org/portal/collections/individual/index.php?occid=237915
233451	MSC	MSC0039842	Malachowski, James	NA	438.11	490.8	Michigan	Crawford	46.804978	-89.748125	outside_boundary_exact	Michigan, Ontonagon County	Hemlock, maple, birch & aspen NW shore of Lake of the Clouds, Porcupine Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=233451
278905	MSC	MSC0083096	Pipoly, J J	213	415.44	507.88	Michigan	Ottawa	46.327985	-89.788442	outside_boundary_exact	Michigan, Gogebic County	West of Henry Lake, Ottawa National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=278905
