id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1821632	MU	000004250	Emery, Ellen R.	s.n.	851.27	1007.6	California	San Diego	39.638212	-123.188621	outside_boundary_exact	California, Mendocino County	Eden Valley	https://lichenportal.org/portal/collections/individual/index.php?occid=1821632
1824087	MU	000003539	Cota, F.M.	1419	160.96	318.51	California	San Diego	34.734705	-118.424803	outside_boundary_exact	California, Los Angeles County	Fairmont Canyon, San Diego	https://lichenportal.org/portal/collections/individual/index.php?occid=1824087
1824481	MU	000084160	Daniels, C.W.	20	130.93	175.96	California	Contra Costa	36.550306	-121.929194	outside_boundary_exact	California, Monterey County	Carmel Beach, Monterey, Mt. Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1824481
1828263	MU	000084148	Daniels, C.W.	30	130.93	175.96	California	Contra Costa	36.550306	-121.929194	outside_boundary_exact	California, Monterey County	Carmel Beach, Monterey, Mt. Diablo	https://lichenportal.org/portal/collections/individual/index.php?occid=1828263
1824817	MU	000004225	Cooke, William Bridge	30925	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	along trail to Loomis Peak above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1824817
1824885	MU	000004221	Cooke, William Bridge	30933	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1824885
1824920	MU	000004211	Cooke, William Bridge	30931	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak, above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1824920
1824984	MU	000004137	Cooke, William Bridge	30940	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1824984
1825011	MU	000004226	Cooke, William Bridge	30950b	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak, above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1825011
1825012	MU	000004227	Cooke, William Bridge	30950	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1825012
1826621	MU	000004133	Cooke, William Bridge	30941	128.51	184.91	California	Nevada	40.487605	-121.543816	outside_boundary_exact	California, Shasta County	Along trail to Loomis Peak above Manzanita Lake, Lassen Volcanic National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1826621
