id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
4978508	NY	4273589	R. A. Hattaway	263	613.63	Florida	Marion Co.	23.3721	-81.8983	outside_boundary_exact	not_found_in_US	Stop #1; Ocala National Forest; ca. 0.5 mi E of Oklawaha R. Bridge near Eureka.	https://lichenportal.org/portal/collections/individual/index.php?occid=4978508
4982766	NY	4272923	R. A. Hattaway	266	613.63	Florida	Marion Co.	23.3721	-81.8983	outside_boundary_exact	not_found_in_US	Stop #1; Ocala National Forest; ca. 0.5 mi E of Oklawaha R. Bridge near Eureka.	https://lichenportal.org/portal/collections/individual/index.php?occid=4982766
4984117	NY	4273546	R. A. Hattaway	264	613.63	Florida	Marion Co.	23.3721	-81.8983	outside_boundary_exact	not_found_in_US	Stop #1; Ocala National Forest; ca. 0.5 mi E of Oklawaha R. Bridge near Eureka.	https://lichenportal.org/portal/collections/individual/index.php?occid=4984117
4987850	NY	4275973	R. A. Hattaway	269	613.63	Florida	Marion Co.	23.3721	-81.8983	outside_boundary_exact	not_found_in_US	Stop #1; Ocala National Forest; ca. 0.5 mi E of Oklawaha R. Bridge near Eureka.	https://lichenportal.org/portal/collections/individual/index.php?occid=4987850
934965	NY	1365581	S. Rapp	507	419.2	Florida	Seminole Co.	24.80027778	-81.2733333	outside_boundary_exact	not_found_in_US	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=934965
956206	NY	1409462	Richard C. Harris	30096	383.32	Florida	Collier	29.983333	-81.566667	outside_boundary_exact	Florida, St. Johns County	Collier-Seminole State Park, along beginning of Florida Trail on W side of US 41.	https://lichenportal.org/portal/collections/individual/index.php?occid=956206
963822	NY	1395896	Dana Griffin, III	2944	295.28	Florida	Citrus	30.739765	-85.489556	outside_boundary_exact	Florida, Washington County	Mason Creek, ca. 2 mi SW of	https://lichenportal.org/portal/collections/individual/index.php?occid=963822
3525180	NY	1516076	J. D. Smith | C. F. Austin	20	103.73	Florida	Lee Co.	27.7297	-82.3441	outside_boundary_exact	Florida, Hillsborough County	Caloosa	https://lichenportal.org/portal/collections/individual/index.php?occid=3525180
1293159	NY	1702683	G. Thor	4612	99.83	Florida	Miami-Dade Co.	24.67	-81.67	outside_boundary_exact	Florida, Monroe County	S shore of Boca Chica Key ca. 11 km E of Key West	https://lichenportal.org/portal/collections/individual/index.php?occid=1293159
3581846	NY	3809475	G. T. Johnson	6212	91.74	Florida	Alachua Co.	28.59	-82.09	outside_boundary_exact	Florida, Sumter County	Near Hawthorne	https://lichenportal.org/portal/collections/individual/index.php?occid=3581846
892820	NY	1224125	J. P. Dey	8189	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=892820
3186027	NY	1652320	J. P. Dey	8198	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3186027
3186628	NY	1684258	J. P. Dey	8174	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3186628
3186682	NY	1684351	J. P. Dey	8184	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3186682
3188587	NY	1235080	J. P. Dey	8185	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3188587
3188662	NY	1235177	J. P. Dey	8192	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3188662
3188773	NY	1235539	J. P. Dey	8203	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3188773
3189122	NY	1236240	J. P. Dey	8207	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3189122
3189508	NY	1236974	J. P. Dey	8170	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3189508
3189539	NY	1237027	J. P. Dey	8180	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3189539
3189572	NY	1237073	J. P. Dey	8202	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3189572
3189573	NY	1237074	J. P. Dey	8176	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3189573
3193343	NY	1726202	J. P. Dey	8177	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3193343
3203943	NY	2439841	J. P. Dey	8206	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3203943
3203944	NY	2439842	J. P. Dey	8197	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3203944
3204054	NY	2439948	J. P. Dey	8188	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3204054
3207013	NY	1235700	J. P. Dey	8204	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3207013
3207772	NY	1235502	J. P. Dey	8173	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3207772
3207922	NY	1726715	J. P. Dey	8200	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3207922
3210549	NY	1684338	J. P. Dey	8191	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3210549
3210556	NY	1726678	J. P. Dey	8181	80.61	Florida	Citrus Co.	29.7717	-82.3531	outside_boundary_exact	Florida, Alachua County	4 mi south of Inverness on FLA HWY 581	https://lichenportal.org/portal/collections/individual/index.php?occid=3210556
842165	NY	752653	W. R. Buck	33770	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=842165
842166	NY	752654	W. R. Buck	33776	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=842166
868688	NY	1028749	W. R. Buck	33779	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=868688
868689	NY	1028750	R. C. Harris	41859	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=868689
868690	NY	1028751	R. C. Harris	41872	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=868690
882326	NY	1150845	R. C. Harris	41857A	77.73	Florida	Collier Co.	27.15	-81.9	outside_boundary_exact	Florida, DeSoto County	Corkscrew Swamp Sanctuary, along boardwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=882326
