id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
954988	NY	1399539	Richard C. Harris	53624	402.16	New York	Clinton	40.839444	-73.569722	outside_boundary_exact	New York, Nassau County	Town of Altona, Miner Experimental Forest, Coblelestone Hill above Little Chazy River	https://lichenportal.org/portal/collections/individual/index.php?occid=954988
960892	NY	1406711	William R. Buck	30883	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Mooers, Gadway Sandstone Pavement Barrens, off Gadway Road, 0.4 mi S of Cannon Corners	https://lichenportal.org/portal/collections/individual/index.php?occid=960892
1005662	NY	1517619	William R. Buck	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1005662
1005967	NY	1517936	William R. Buck	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1005967
1008111	NY	1518755	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1008111
1008112	NY	1518756	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1008112
1008115	NY	1518759	William R. Buck	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1008115
1020699	NY	1525958	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1020699
1021476	NY	1526736	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1021476
1021478	NY	1526738	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1021478
1021479	NY	1526739	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1021479
1022973	NY	1535144	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1022973
1023004	NY	1535175	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1023004
1025578	NY	1536419	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1025578
1026681	NY	1537526	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1026681
1027199	NY	1538044	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1027199
1027424	NY	1538269	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1027424
1034922	NY	1540503	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1034922
1037863	NY	1541799	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1037863
1052042	NY	1547895	William R. Buck	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1052042
1060989	NY	1563155	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1060989
1084267	NY	1566243	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1084267
1084412	NY	1566388	Richard C. Harris	NA	273.26	New York	Clinton	41.984722	-73.766667	outside_boundary_exact	New York, Dutchess County	Town of Canaan, Robbins Swamp, E of Sand Road, ca. 0.5 mi N of CT 126	https://lichenportal.org/portal/collections/individual/index.php?occid=1084412
