occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
884865	NY	M. K. Advaita	South Dakota	Brown Co.	106.9	outside_boundary_exact	1218159	45.5403,-96.6111	Minnesota, Big Stone County	ca 5 mi W, 5 mi N of Aberdeen, Richmond Lake State Recreation Area, Forest Drive Area North Shore	https://lichenportal.org/portal/collections/individual/index.php?occid=884865
887182	NY	M. K. Advaita	South Dakota	Brown Co.	106.9	outside_boundary_exact	1219661	45.5403,-96.6111	Minnesota, Big Stone County	ca 5 mi W, 5 mi N of Aberdeen, Richmond Lake State Recreation Area, Forest Drive Area North Shore	https://lichenportal.org/portal/collections/individual/index.php?occid=887182
884710	NY	M. K. Advaita	South Dakota	Hand Co.	44.87	outside_boundary_exact	1218164	44.6397,-98.1389	South Dakota, Spink County	6 mi N, 7 mi W of Miller, Lake Louise State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=884710
4946759	NY	M. K. Advaita	South Dakota	Hand Co.	44.87	outside_boundary_exact	4687498	44.6397,-98.1389	South Dakota, Spink County	6 mi N, 7 mi W of Miller, Lake Louise State Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4946759
3246667	NY	C. M. Wetmore	South Dakota	Pennington Co.	18.7	outside_boundary_exact	2279918	43.6875,-103.7028	South Dakota, Custer County	Black Hills. Fourmile Creek road 8 miles SW of Custer.	https://lichenportal.org/portal/collections/individual/index.php?occid=3246667
3199844	NY	J. P. Dey	South Dakota	Custer Co.	4.92	outside_boundary_exact	2204402	43.900215,-103.528384	South Dakota, Pennington County	opposite Norbeck Wildlife Preserve in Black Hills National Forest, 8 mi west of Mt. Rushmore on SD Hwy 244 at junction with Forest Service Road 356	https://lichenportal.org/portal/collections/individual/index.php?occid=3199844
3199850	NY	J. P. Dey	South Dakota	Custer Co.	4.92	outside_boundary_exact	2204408	43.900215,-103.528384	South Dakota, Pennington County	opposite Norbeck Wildlife Preserve in Black Hills National Forest, 8 mi west of Mt. Rushmore on SD Hwy 244 at junction with Forest Service Road 356	https://lichenportal.org/portal/collections/individual/index.php?occid=3199850
3199887	NY	J. P. Dey	South Dakota	Custer Co.	4.92	outside_boundary_exact	2204472	43.900215,-103.528384	South Dakota, Pennington County	opposite Norbeck Wildlife Preserve in Black Hills National Forest, 8 mi west of Mt. Rushmore on SD Hwy 244 at junction with Forest Service Road 356	https://lichenportal.org/portal/collections/individual/index.php?occid=3199887
4988804	NY	J. P. Dey	South Dakota	Custer Co.	4.92	outside_boundary_exact	4276032	43.900215,-103.528384	South Dakota, Pennington County	opposite Norbeck Wildlife Preserve in Black Hills National Forest, 8 mi west of Mt. Rushmore on SD Hwy 244 at junction with Forest Service Road 356	https://lichenportal.org/portal/collections/individual/index.php?occid=4988804
866161	NY	M. K. Advaita	South Dakota	Marshall Co.	0.83	outside_boundary_exact	975792	45.746,-97.21683	South Dakota, Roberts County	ca 7 mi N and 7 mi W of Sisseton, Sicca Hollow State Park, picnic area and Spirit Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=866161
