occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
959176	NY	C. F. Reed	Virginia	Augusta Co.	8546.97	outside_boundary_exact	1359892	-78.952864,-78.969349	not_found_in_US	10 mi S of Afton, on Blue Ridge Pkwy., Ravens Roost	https://lichenportal.org/portal/collections/individual/index.php?occid=959176
1110247	NY	G. P. Anderson	Virginia	Virginia Beach (Independent City)	317.51	outside_boundary_reverse_partial	1574026	39.8731,-76.0469	Pennsylvania, Lancaster County	Princess Anne Co.	https://lichenportal.org/portal/collections/individual/index.php?occid=1110247
5404962	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	4758989	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5404962
5407018	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758916	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407018
5407019	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758917	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407019
5407020	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758918	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407020
5407021	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758919	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407021
5407022	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758920	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407022
5407023	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758921	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407023
5407024	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758922	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407024
5407025	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758924	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407025
5407026	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758925	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407026
5407027	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758926	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407027
5407028	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758927	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407028
5407029	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758928	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407029
5407030	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758929	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407030
5407031	NY	J. C. Lendemer	Virginia	Augusta Co.	283.74	outside_boundary_exact	04758930	35.358648,-79.297206	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407031
