id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
959176	NY	1359892	C. F. Reed	42792	8546.97	Virginia	Augusta Co.	-78.952864	-78.969349	outside_boundary_exact	not_found_in_US	10 mi S of Afton, on Blue Ridge Pkwy., Ravens Roost	https://lichenportal.org/portal/collections/individual/index.php?occid=959176
1110247	NY	1574026	G. P. Anderson	NA	317.51	Virginia	Virginia Beach (Independent City)	39.8731	-76.0469	outside_boundary_reverse_partial	Pennsylvania, Lancaster County	Princess Anne Co.	https://lichenportal.org/portal/collections/individual/index.php?occid=1110247
5404962	NY	4758989	J. C. Lendemer	79686	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5404962
5407019	NY	4758917	J. C. Lendemer	79758	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407019
5407020	NY	4758918	J. C. Lendemer	79757	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407020
5407021	NY	4758919	J. C. Lendemer	79756	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407021
5407022	NY	4758920	J. C. Lendemer	79755	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407022
5407023	NY	4758921	J. C. Lendemer	79754	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407023
5407024	NY	4758922	J. C. Lendemer	79753	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407024
5407025	NY	4758924	J. C. Lendemer	79751	283.74	Virginia	Augusta Co.	35.358648	-79.297206	outside_boundary_exact	North Carolina, Moore County	George Washington National Forest, Ramsey Draft Wilderness, Shenandoah Mountain, N-slopes of Big Bald Knob, FST-716 ~0.5 mi S of jct w/ FST427	https://lichenportal.org/portal/collections/individual/index.php?occid=5407025
