id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3225111	NY	2357077	E. Lay	92-0269	70.17	162.11	Maine	Washington Co.	44.6	-68.9167	outside_boundary_exact	Maine, Waldo County	Cherryfield, Pine Grove Cemetery off Route 193	https://lichenportal.org/portal/collections/individual/index.php?occid=3225111
3251563	NY	02858535	E. Lay	92-0023	70.17	162.11	Maine	Washington Co.	44.6	-68.9167	outside_boundary_exact	Maine, Waldo County	Cherryfield. Pine Grove Cemetery.	https://lichenportal.org/portal/collections/individual/index.php?occid=3251563
3515818	NY	03303288	E. Lay	92-0296	70.17	162.11	Maine	Washington Co.	44.6	-68.9167	outside_boundary_exact	Maine, Waldo County	Cherryfield, Pine Grove Cemetery off Route 193	https://lichenportal.org/portal/collections/individual/index.php?occid=3515818
961778	NY	1411218	F. A. Wiley	NA	38.39	173.86	Maine	Aroostook Co.	45.904353	-68.921272	outside_boundary_exact	Maine, Piscataquis County	On Grassy Pond Trail, Mt. Katahdin	https://lichenportal.org/portal/collections/individual/index.php?occid=961778
961780	NY	1411220	B. Brown	NA	34.17	110.48	Maine	York Co.	43.859289	-70.15572	outside_boundary_exact	Maine, Cumberland County	Desert of Maine	https://lichenportal.org/portal/collections/individual/index.php?occid=961780
3256302	NY	02792876	E. Lay	93-0350	10.68	98.3	Maine	Hancock Co.	44.75	-67.9167	outside_boundary_exact	Maine, Washington County	Unionville. 7.1 mi W of Unionville Rd. On Highway 182.	https://lichenportal.org/portal/collections/individual/index.php?occid=3256302
875775	NY	1180954	J. C. Lendemer	22930	6.82	126.34	Maine	Washington Co.	44.5847	-68.1031	outside_boundary_exact	Maine, Hancock County	T10 SD, Donnell Pond Public Reserve Lands, Black Mountain, Big Chief Trail to summit of Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=875775
875776	NY	1180955	J. C. Lendemer	22929	6.82	126.34	Maine	Washington Co.	44.5847	-68.1031	outside_boundary_exact	Maine, Hancock County	T10 SD, Donnell Pond Public Reserve Lands, Black Mountain, Big Chief Trail to summit of Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=875776
875777	NY	1180956	J. C. Lendemer	22928	6.82	126.34	Maine	Washington Co.	44.5847	-68.1031	outside_boundary_exact	Maine, Hancock County	T10 SD, Donnell Pond Public Reserve Lands, Black Mountain, Big Chief Trail to summit of Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=875777
875778	NY	1180957	J. C. Lendemer	22927	6.82	126.34	Maine	Washington Co.	44.5847	-68.1031	outside_boundary_exact	Maine, Hancock County	T10 SD, Donnell Pond Public Reserve Lands, Black Mountain, Big Chief Trail to summit of Black Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=875778
