id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5400535	NY	04288847	J. Hollinger	25530	13072.69	13113.73	North Carolina	Haywood Co.	35.5025	82.9788	outside_boundary_exact	not_found_in_US	Waynesville, Riverwalk	https://lichenportal.org/portal/collections/individual/index.php?occid=5400535
971091	NY	1516836	E. B. Harger	9	9846.13	9892.28	North Carolina	Burke Co.	35.94972	35.94972	outside_boundary_exact	not_found_in_US	on upper trail at Linville Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=971091
1238827	NY	1656053	E. B. Harger	8	9846.13	9892.28	North Carolina	Burke Co.	35.94972	35.94972	outside_boundary_exact	not_found_in_US	trail above Linville Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=1238827
1107859	NY	1571431	C. F. Reed	66237[A]	109.29	150.92	North Carolina	Perquimans Co.	36.364326	-77.808078	outside_boundary_exact	North Carolina, Halifax County	7 mi SW of Rt. 158 on Rt. 1001	https://lichenportal.org/portal/collections/individual/index.php?occid=1107859
958392	NY	1359099	P. O. Schallert	784	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=958392
959979	NY	1399083	P. O. Schallert	s.n.	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=959979
959980	NY	1399084	P. O. Schallert	s.n.	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=959980
959983	NY	1399087	P. O. Schallert	29	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=959983
1040552	NY	1544508	P. O. Schallert	s.n.	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=1040552
1060819	NY	1562983	P. O. Schallert	547	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=1060819
3221756	NY	1685618	P. O. Schallert	3955	89.77	133.22	North Carolina	Stokes Co.	36.125696	-79.0414	outside_boundary_exact	North Carolina, Orange County	Cascades	https://lichenportal.org/portal/collections/individual/index.php?occid=3221756
3230512	NY	1726708	W. L. Culberson	5506	88.44	128.91	North Carolina	Cleveland Co.	35.2389	-80.3419	outside_boundary_exact	North Carolina, Stanly County	1 mi N of King's Mountain, at the Cleveland-Gaston County Line	https://lichenportal.org/portal/collections/individual/index.php?occid=3230512
954667	NY	1398532	W. R. Buck	17743	78.93	123.99	North Carolina	Jackson Co.	35.011	-82.1	outside_boundary_exact	South Carolina, Spartanburg County	Nantahala National Forest, Ellicott's Rock Trail from Fowler Creek to Chattooga River	https://lichenportal.org/portal/collections/individual/index.php?occid=954667
4979127	NY	04687993	B. Goffinet	5198	71.19	108.3	North Carolina	Yancey Co.	35.6375	-81.3736	outside_boundary_exact	North Carolina, Catawba County	Blue Ridge Parkway Mile Post 340, Crabtree Meadows, trail to Crabtree Falls	https://lichenportal.org/portal/collections/individual/index.php?occid=4979127
3216365	NY	2606447	J. L. Allen	4161	70.17	101.37	North Carolina	Yancey Co.	35.7783	-83.2614	outside_boundary_exact	Tennessee, Cocke County	Mount Mitchell State Park, Mount Craig summit and vicinity, ~1.5 mi N of Mount Mitchell, ~3.4 mi W of US80	https://lichenportal.org/portal/collections/individual/index.php?occid=3216365
3230833	NY	2606445	J. L. Allen	4166	70.17	101.37	North Carolina	Yancey Co.	35.7783	-83.2614	outside_boundary_exact	Tennessee, Cocke County	Mount Mitchell State Park, Mount Craig summit and vicinity, ~1.5 mi N of Mount Mitchell, ~3.4 mi W of US80	https://lichenportal.org/portal/collections/individual/index.php?occid=3230833
3230834	NY	2606448	J. L. Allen	4157	70.17	101.37	North Carolina	Yancey Co.	35.7783	-83.2614	outside_boundary_exact	Tennessee, Cocke County	Mount Mitchell State Park, Mount Craig summit and vicinity, ~1.5 mi N of Mount Mitchell, ~3.4 mi W of US80	https://lichenportal.org/portal/collections/individual/index.php?occid=3230834
3235756	NY	2606449	J. L. Allen	4152	70.17	101.37	North Carolina	Yancey Co.	35.7783	-83.2614	outside_boundary_exact	Tennessee, Cocke County	Mount Mitchell State Park, Mount Craig summit and vicinity, ~1.5 mi N of Mount Mitchell, ~3.4 mi W of US80	https://lichenportal.org/portal/collections/individual/index.php?occid=3235756
