id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
6034204	NYS	NYSL0000191602	CAM-NSF-Lichen Genomics Team	PURU_SNR_02a	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034204
6034205	NYS	NYSL0000191603	CAM-NSF-Lichen Genomics Team	PURU_SNR_02b	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034205
6034206	NYS	NYSL0000191604	CAM-NSF-Lichen Genomics Team	PURU_SNR_03a	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034206
6034207	NYS	NYSL0000191605	CAM-NSF-Lichen Genomics Team	PURU_SNR_04a	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034207
6034208	NYS	NYSL0000191606	CAM-NSF-Lichen Genomics Team	PURU_SNR_04b	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034208
6034209	NYS	NYSL0000191607	CAM-NSF-Lichen Genomics Team	PURU_SNR_05a	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034209
6034210	NYS	NYSL0000191608	CAM-NSF-Lichen Genomics Team	PURU_SNR_05b	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034210
6034211	NYS	NYSL0000191609	CAM-NSF-Lichen Genomics Team	PURU_SNR_05c	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034211
6034212	NYS	NYSL0000191610	CAM-NSF-Lichen Genomics Team	PURU_SNR_07a	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034212
6034213	NYS	NYSL0000191611	CAM-NSF-Lichen Genomics Team	PURU_SNR_07b	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034213
6034214	NYS	NYSL0000191612	CAM-NSF-Lichen Genomics Team	PURU_SNR_07c	233.18	Kentucky	Hardin	36.92086	-83.23054	outside_boundary_exact	Kentucky, Harlan County	E-slopes of Pine Mountain, Kentenia State Forest, S of Little Shepherd Trail/SR1679 between Mill Cliff Branch and Hi Lewis Branch	https://lichenportal.org/portal/collections/individual/index.php?occid=6034214
