id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
6031453	NYS	NYSL0000190040	Waters, Dennis	7312	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031453
6031454	NYS	NYSL0000190052	Waters, Dennis	7319	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031454
6031455	NYS	NYSL0000190058	Waters, Dennis	7316	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031455
6031456	NYS	NYSL0000190045	Waters, Dennis	7291	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031456
6031457	NYS	NYSL0000190047	Waters, Dennis	7314	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031457
6031458	NYS	NYSL0000190059	Waters, Dennis	7300	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031458
6031459	NYS	NYSL0000190042	Waters, Dennis	7322	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031459
6031460	NYS	NYSL0000190053	Waters, Dennis	7320	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031460
6031461	NYS	NYSL0000190043	Waters, Dennis	7305	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031461
6031462	NYS	NYSL0000190049	Waters, Dennis	7293	74.9	New Jersey	Monmouth	40.159757	-75.501341	outside_boundary_exact	Pennsylvania, Montgomery County	Upper Freehold Township, Clayton Park, along Bridges Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6031462
