id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
4642019	OBI	OBI146060	Gary B. Perlmutter	3938	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4642019
4642020	OBI	OBI146059	Gary B. Perlmutter	3943	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4642020
4642022	OBI	OBI146057	Gary B. Perlmutter	3945	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4642022
4642023	OBI	OBI146067	Gary B. Perlmutter	3947	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4642023
4642024	OBI	OBI146066	Gary B. Perlmutter	3942	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4642024
4785010	OBI	OBI146058	Gary B. Perlmutter	3939	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4785010
4785013	OBI	OBI146061	Gary B. Perlmutter	3941	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4785013
4785014	OBI	OBI146062	Gary B. Perlmutter	3944	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4785014
4785015	OBI	OBI146063	Gary B. Perlmutter	3946	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4785015
4785016	OBI	OBI146064	Gary B. Perlmutter	3937	12517.13	12560.81	North Carolina	Durham	35.921543	78.948494	outside_boundary_exact	not_found_in_US	Winterberry Ridge Drive near Woodcroft Parkway, Woodcroft/south Durham	https://lichenportal.org/portal/collections/individual/index.php?occid=4785016
4787856	OBI	OBI146072	Gary B. Perlmutter	2938	61.65	123.46	North Carolina	Wake	35.828056	-79.6325	outside_boundary_exact	North Carolina, Randolph County	Barrett Drive, Raleigh	https://lichenportal.org/portal/collections/individual/index.php?occid=4787856
