occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1767406	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0007654	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=1767406
1767785	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0008002	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=1767785
1769704	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0009329	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Onieda County Forest South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=1769704
1769722	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0009347	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=1769722
2405312	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0010130	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2405312
2405684	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0009939	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2405684
2406873	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0010267	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2406873
2407092	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0021861	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2407092
2411173	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0022705	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=2411173
2416235	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0011715	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2416235
2416364	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0011900	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=2416364
2416389	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0011882	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2416389
2424838	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0013856	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=2424838
2425832	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0014374	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=2425832
2425857	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0014356	45.467222,-89.351389	Wisconsin, Langlade County	Town of Plum Lake, Oneida County Forest South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2425857
3409494	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071175	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=3409494
3409634	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071286	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=3409634
3409635	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071301	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=3409635
3409652	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071319	45.467222,-89.351389	Wisconsin, Langlade County	Plum Lake, Oneida County Forest, south entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=3409652
3409714	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071427	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=3409714
3409732	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0071437	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance; 45.467222 -89.351389	https://lichenportal.org/portal/collections/individual/index.php?occid=3409732
3414198	OS	Don Flenniken	Wisconsin	Oneida	0.3	outside_boundary_exact	OS0070220	45.467222,-89.351389	Wisconsin, Langlade County	Oneida County Forest, South Entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=3414198
