id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
482838	OSC	70965	Bruce McCune	9070	8.37	Kentucky	Powell	37.941667	-83.666667	outside_boundary_exact	Kentucky, Menifee County	Whittleton Branch Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=482838
2218982	OSC	135279	Bruce McCune	9076	8.37	Kentucky	Powell	37.94166667	-83.66666667	outside_boundary_exact	Kentucky, Menifee County	Daniel Boone National Forest, Whittleton Branch Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2218982
2221507	OSC	70945	Bruce McCune	9044	8.37	Kentucky	Powell	37.941667	-83.666667	outside_boundary_exact	Kentucky, Menifee County	Whittleton Branch Trail, Daniel Boone National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2221507
2224233	OSC	138784	Bruce McCune	9025	8.37	Kentucky	Powell	37.94166667	-83.66666667	outside_boundary_exact	Kentucky, Menifee County	Daniel Boone National Forest, Whittleton Branch Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2224233
2224234	OSC	138785	Bruce McCune	9026	8.37	Kentucky	Powell	37.94166667	-83.66666667	outside_boundary_exact	Kentucky, Menifee County	Daniel Boone National Forest, Whittleton Branch Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2224234
2226956	OSC	143772	Bruce McCune	9077	8.37	Kentucky	Powell	37.941667	-83.666667	outside_boundary_exact	Kentucky, Menifee County	Whittleton Branch Trail, Daniel Boone National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=2226956
2231038	OSC	103065	Bruce McCune	9027	8.37	Kentucky	Powell	37.94166667	-83.66666667	outside_boundary_exact	Kentucky, Menifee County	Daniel Boone National Forest, Whittleton Branch Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2231038
2220103	OSC	70946	Bruce McCune	9045	7.73	Kentucky	Powell	37.9347222	-83.6666667	outside_boundary_exact	Kentucky, Menifee County	Whittleton Branch Trail,Daniel Boone National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=2220103
2224398	OSC	139332	Bruce McCune	9064	7.73	Kentucky	Powell	37.9347222	-83.6666667	outside_boundary_exact	Kentucky, Menifee County	Whittleton Branch Trail,Daniel Boone National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=2224398
4938570	OSC	168690	Jim Riley	1647	0.58	Kentucky	Lyon	36.8921	-88.051333	outside_boundary_exact	Kentucky, Trigg County	Land Between the Lakes National Recreation Area, Hemitite Lake trail	https://lichenportal.org/portal/collections/individual/index.php?occid=4938570
