id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5378477	OSC	OSC-M-052752	Lily Serrao	D7	521.88	North Carolina	Buncombe	34.7991	-76.4613	outside_boundary_exact	North Carolina, Carteret County	In residential yard, about 425 m from Core Sound. 621 US-70, Davis, NC.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378477
4428568	OSC	173316	Jeff Marler	12	448.26	North Carolina	Greene	35.5625	-82.8125	outside_boundary_exact	North Carolina, Haywood County	Hex Plot Number: 3507757. Cole Number: 8085.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428568
4428554	OSC	173302	Jessica Metzger	5	79.28	North Carolina	Caldwell	35.0625	-81.5625	outside_boundary_exact	South Carolina, Cherokee County	Hex Plot Number: 3508115. Cole Number: 8118.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428554
2227126	OSC	144074	Lawrence H. Pike	4467	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227126
2227127	OSC	144075	Lawrence H. Pike	4467	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227127
2227128	OSC	144076	Lawrence H. Pike	4468	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227128
2227129	OSC	144077	Lawrence H. Pike	4473	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227129
2227130	OSC	144078	Lawrence H. Pike	4474	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227130
2227131	OSC	144079	Lawrence H. Pike	4475	76.61	North Carolina	Yancey	36.765	-82.265	outside_boundary_exact	Virginia, Russell County	Near Summit of Mount Mitchell	https://lichenportal.org/portal/collections/individual/index.php?occid=2227131
4782139	OSC	107786	James C. Lendemer	1095	40.78	North Carolina	Jones	34.683611	-76.639444	outside_boundary_exact	North Carolina, Carteret County	0.04 miles north of Mire Branch Rd., east of Mattocks Road, Catfish Lake Wilderness, Croatan National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=4782139
4413715	OSC	107050	James Lendemer	Lendemer et al # 674	37.22	North Carolina	Carteret	34.69888889	-75.83222222	outside_boundary_exact	not_found_in_US	Just N of North Carolina Aquarium, Bogue Banks, Theodore Roosevelt Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4413715
5378471	OSC	OSC-M-052746	Lily Serrao	B16	0.08	North Carolina	Buncombe	35.4626	-82.3645	outside_boundary_exact	North Carolina, Henderson County	Side of gravel access road/trail to Bearwallow Mountain.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378471
4428600	OSC	173325	Layna Thrush	7	NA	North Carolina	Onsloco	34.6875	-77.6875	county_not_matched_no_match	county_not_matched	Hex Plot Number: 3407766. Cole Number: 8086.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428600
