id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2223141	OSC	91586	Bruce McCune	NA	636.03	South Carolina	Berkeley	39.15	-80.9	outside_boundary_exact	West Virginia, Ritchie County	Plain along creek 1.5 mi. N. of Hwy. 402 on FS Route 130 in Francis Marion NF,N. of Huger,	https://lichenportal.org/portal/collections/individual/index.php?occid=2223141
4416884	OSC	163636	Bruce McCune	20586	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger, 33°9'N 80°54'W. Mixed Quercus, Pinus palustris, Pinus taeda, Ericaceous shrubs, and Rubus. FHM Supplemental Lichen Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416884
4416893	OSC	163649	Bruce McCune, A. DeBolt	20589	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger, 33°9'N 80°54'W. Mixed Quercus, Pinus palustris, Pinus taeda, Ericaceous shrubs, and Rubus. FHM Supplemental Lichen Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416893
4416917	OSC	163864	Bruce McCune	20578	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger, 33°9'N 80°54'W. Mixed Quercus, Pinus palustris, Pinus taeda, Ericaceous shrubs, and Rubus. FHM Supplemental Lichen Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416917
4416921	OSC	163868	Bruce McCune, A. DeBolt	20580	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger, 33°9'N 80°54'W. Mixed Quercus, Pinus palustris, Pinus taeda, Ericaceous shrubs, and Rubus. FHM Supplemental Lichen Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416921
4416924	OSC	163871	Bruce McCune, A. DeBolt	20579	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger, 33°9'N 80°54'W. Mixed Quercus, Pinus palustris, Pinus taeda, Ericaceous shrubs, and Rubus. FHM Supplemental Lichen Plot #21.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416924
4416926	OSC	163873	Bruce McCune	20584	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi. N of Hwy. 402 on FS Route 130 in Francis Marion NF, N. of Huger.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416926
5420854	OSC	101712	Bruce McCune	20585	51.27	South Carolina	Berkeley	33.15	-80.9	outside_boundary_exact	South Carolina, Bamberg County	Plain along creek 1.5 mi N of Hwy 402 on FS Route 130 in Francis Marion NF, N of Huger.	https://lichenportal.org/portal/collections/individual/index.php?occid=5420854
4416207	OSC	163579	Roger Rosentreter	20573	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #18	https://lichenportal.org/portal/collections/individual/index.php?occid=4416207
4416217	OSC	163589	Roger Rosentreter	20568	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R. FHM Supplemental Lichen Plot #18	https://lichenportal.org/portal/collections/individual/index.php?occid=4416217
4416220	OSC	163593	Roger Rosentreter	20569	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416220
4416221	OSC	163594	Roger Rosentreter	20570	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R.	https://lichenportal.org/portal/collections/individual/index.php?occid=4416221
4416224	OSC	163597	Roger Rosentreter, A. DeBolt	20567	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416224
4416227	OSC	163600	Bruce McCune	20567	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416227
4416228	OSC	163601	Roger Rosentreter, A. DeBolt, Bruce McCune	20562	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416228
4416229	OSC	163602	Roger Rosentreter	McCune 20560	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416229
4416231	OSC	163604	Roger Rosentreter, A. DeBolt, Bruce McCune	20563	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416231
4416232	OSC	163605	Roger Rosentreter, A. DeBolt, Bruce McCune	20563	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416232
4416233	OSC	163606	Roger Rosentreter, A. DeBolt, Bruce McCune	20564	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416233
4416234	OSC	163607	Roger Rosentreter, A. DeBolt, Bruce McCune	20565	15.51	South Carolina	Charleston	33.1	-79.86667	outside_boundary_exact	South Carolina, Berkeley County	Flats near marsh off Cainhoy St. N. off I-526, on Thomas Island near Cooper R., 33°6'N 79°52'W . FHM Supplemental Lichen Plot #19	https://lichenportal.org/portal/collections/individual/index.php?occid=4416234
