id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
4422213	OSC	167781	Jim Riley	1710	14.28	Virginia	Carroll	36.810422	-80.353409	outside_boundary_exact	Virginia, Floyd County	Blue Ridge Parkway. West of the Rocky Knob Info Center.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422213
4422353	OSC	167921	Jim Riley	1709	14.28	Virginia	Carroll	36.810422	-80.353409	outside_boundary_exact	Virginia, Floyd County	Blue Ridge Parkway. West of the Rocky Knob Info Center.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422353
4422613	OSC	168161	Jim Riley	1636	10.5	Virginia	Warren	38.67414	-78.33553	outside_boundary_exact	Virginia, Page County	Shenandoah National Park. Pass Mountain Loop Trail and Overlook.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422613
4428616	OSC	173341	J. Dey	2, WW 6558	2.68	Virginia	Brunswick	36.94	-77.69	outside_boundary_exact	Virginia, Dinwiddie County	Plot: 51-25-202. State-County-FIADB plo.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428616
4428617	OSC	173342	J. Dey	31, WW 6560	2.53	Virginia	Augusta	38.44	-79.31	outside_boundary_exact	West Virginia, Pendleton County	Plot: 51-15-205. State-County-FIADB plo.	https://lichenportal.org/portal/collections/individual/index.php?occid=4428617
4423221	OSC	168789	John G. Guccion	1384	0.88	Virginia	Madison	38.533333	-78.45	outside_boundary_exact	Virginia, Page County	Shenandoah National Park. Upper Franklin Cliffs Overlook.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423221
2219639	OSC	136178	Lawrence H. Pike	4434	0.42	Virginia	Grayson	36.64	-81.61	outside_boundary_exact	Virginia, Smyth County	Summit of Whitetop Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=2219639
2219651	OSC	136191	Lawrence H. Pike	4430	0.42	Virginia	Grayson	36.64	-81.61	outside_boundary_exact	Virginia, Smyth County	Summit of Whitetop Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=2219651
4423247	OSC	168870	John G. Guccion	1105	0.22	Virginia	Culpepper	38.672	-77.976666666667	outside_boundary_similarity_0.857	Virginia, Rappahannock County	Along U.S. 29E, 1.3 miles east of Amissville.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423247
4423486	OSC	169091	John G. Guccion	1177	0.02	Virginia	Madison	38.536916666667	-78.419233333333	outside_boundary_exact	Virginia, Page County	Shenandoah National Forest. Upper Franklin Cliffs overlook along Skyline Drive.	https://lichenportal.org/portal/collections/individual/index.php?occid=4423486
