id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2228345	OSC	147034	Roger Rosentreter	14481	8.54	Florida	Marion	29.56167	-82.33	outside_boundary_exact	Florida, Alachua County	South of Gainesville, Paynes Prairie	https://lichenportal.org/portal/collections/individual/index.php?occid=2228345
5985611	OSC	124341	Roger Rosentreter	15327	2.36	Florida	Marion	29.166667	-81.616667	outside_boundary_exact	Florida, Lake County	Ocala National Forest, 2 miles along Route 40, 2 miles east of Route 19 jct. Along Route 40 on the north side of the road.	https://lichenportal.org/portal/collections/individual/index.php?occid=5985611
2228349	OSC	147038	Roger Rosentreter	14336	2.02	Florida	Marion	29.5053	-81.7967	outside_boundary_exact	Florida, Putnam County	Just southeast of the Rodman Dam. State land. FHM plot FL-7;	https://lichenportal.org/portal/collections/individual/index.php?occid=2228349
2228259	OSC	145879	Rick Demmer	01470024-2	0.41	Florida	Osceola	27.942553	-81.350252	outside_boundary_exact	Florida, Polk County	Lake Kissimmee State Park, north of main parking lot.	https://lichenportal.org/portal/collections/individual/index.php?occid=2228259
2228260	OSC	145878	Rick Demmer	01480001-2	0.41	Florida	Osceola	27.942553	-81.350252	outside_boundary_exact	Florida, Polk County	Lake Kissimmee State Park, north of main parking lot.	https://lichenportal.org/portal/collections/individual/index.php?occid=2228260
2228264	OSC	145873	Rick Demmer	01470020-2	0.41	Florida	Osceola	27.942553	-81.350252	outside_boundary_exact	Florida, Polk County	Lake Kissimmee State Park, north of main parking lot.	https://lichenportal.org/portal/collections/individual/index.php?occid=2228264
4413805	OSC	145876	Rick Demmer	01470032-duplicate	0.41	Florida	Osceola	27.942553	-81.350252	outside_boundary_exact	Florida, Polk County	Lake Kissimmee State Park, north of main parking lot.	https://lichenportal.org/portal/collections/individual/index.php?occid=4413805
2224227	OSC	138782	Roger Rosentreter	6772	0.37	Florida	Leon	30.3	-84.35	outside_boundary_exact	Florida, Wakulla County	12 mi S of Tallahassee, along US #319; 3.5 miles N of Leon Sinks	https://lichenportal.org/portal/collections/individual/index.php?occid=2224227
4412294	OSC	124414	Roger Rosentreter	6766	0.37	Florida	Leon	30.3	-84.35	outside_boundary_exact	Florida, Wakulla County	12 mi. S. of Tallahassee; 3.5 mi N of Leon Sinks, along US # 319.	https://lichenportal.org/portal/collections/individual/index.php?occid=4412294
4422376	OSC	167944	John G. Guccion	1032	0.37	Florida	Leon	30.3	-84.35	outside_boundary_exact	Florida, Wakulla County	Apalachicola National Forest. Leon Sinks Geological Area, US319, just N. of Wakulla County line.	https://lichenportal.org/portal/collections/individual/index.php?occid=4422376
5772025	OSC	100817	Roger Rosentreter	6784	0.37	Florida	Leon	30.3	-84.35	outside_boundary_exact	Florida, Wakulla County	12 miles S of Tallahassee, Florida. 3.5 miles N of Leon Sinks, along US# 319.	https://lichenportal.org/portal/collections/individual/index.php?occid=5772025
5378409	OSC	OSC-M-052699	Roger Rosentreter	22294	0.08	Florida	Columbia	29.91692	-82.57105	outside_boundary_exact	Florida, Alachua County	O'Leno State Park, 10 km (6 miles) N of High Springs. Florida State Parks Permit #03022110.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378409
5378411	OSC	OSC-M-052701	Roger Rosentreter	22293	0.08	Florida	Columbia	29.91692	-82.57105	outside_boundary_exact	Florida, Alachua County	O'Leno State Park, 10 km (6 miles) N of High Springs. Florida State Parks Permit #03022110.	https://lichenportal.org/portal/collections/individual/index.php?occid=5378411
