id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1727802	PH	PH00094289	Bernard Goffinet	8840	87.74	Connecticut	Litchfield	42.01694	-71.82222	outside_boundary_exact	Connecticut, Windham County	Town of Colebrook, north of city of Colebrook YMCA camp east of North Colebrook and south of Lake Triangle, west of State Route 183.	https://lichenportal.org/portal/collections/individual/index.php?occid=1727802
1724674	PH	PH00089809	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724674
1777592	PH	PH00107145	Henry A. Green	571	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1777592
1778399	PH	PH00107955	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1778399
1795113	PH	PH00115439	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1795113
1795315	PH	PH00115641	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1795315
1796138	PH	PH00116465	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1796138
1796285	PH	PH00116611	Henry A. Green	s.n.	NA	Connecticut	Ellslworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1796285
1796318	PH	PH00116643	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1796318
1796320	PH	PH00116645	John W. Eckfeldt	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1796320
1796643	PH	PH00116969	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1796643
1797071	PH	PH00117395	Henry A. Green	7000	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1797071
1830598	PH	PH00145892	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1830598
1830828	PH	PH00145890	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1830828
1830951	PH	PH00146245	Francis Harper	2978	NA	Connecticut	Berkshire	42.057465	-73.356364	county_not_matched_no_match	county_not_matched	1 mi. w. of Ashley Falls, Bartholomew's Cobble	https://lichenportal.org/portal/collections/individual/index.php?occid=1830951
1831209	PH	PH00146011	Henry A. Green	s.n.	NA	Connecticut	Ellsworth	41.830094	-73.427066	county_not_matched_no_match	county_not_matched	Ellsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=1831209
1831714	PH	PH00146563	Francis Harper	2977	NA	Connecticut	Berkshire	42.057465	-73.356364	county_not_matched_no_match	county_not_matched	1 mi. w. of Ashley Falls, Bartholomew's Cobble	https://lichenportal.org/portal/collections/individual/index.php?occid=1831714
